id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
14	Záznamy ze zasedání zastupitelstva	Měly by být pořizovány a následně zveřejňovány audiovizuální záznamy ze zasedání zastupitelstva města.	Podle zastánců by to zvýšilo transparentnost a zájem občanů o dění ve městě, podle odpůrců by to mohlo být v rozporu se zákonem o ochraně osobních údajů.	14	
15	Diskuzní fórum na webu města	Na webu města by mělo být obnoveno diskusní fórum.	Podle zastánců by se jednalo o vhodnou platformu k diskuzi o problémech města, podle odpůrců by toto fórum bylo terčem útoku anonymních uživatelů.	15	
16	Farmářské trhy	Město by mělo být pořadatelem farmářských trhů.		16	
17	Vánoční trhy	Město by mělo více regulovat pořádání vánočních trhů.	Zastánci upozorňují na nevyužitý potenciál krásného historického náměstí a nekonkurenceschopnost trhů vůči jiným městům, které mají jednotnou a svou vlastní originální podobu vánočních trhů. Odpůrci poukazují na zbytečnou regulaci a zásahy do svobody podnikání, regulace je zbytečná, protože stávající podoba trhů je dostačující.	17	
18	Rozčlenění statutárního města	Statutární město Prostějov by se mělo rozčlenit na městské části.	Zastánci tvrdí, že se přenese rozhodování ve stanovených oblastech blíže k občanům, a nedojde tak k odtržení některých stávajících částí, jako tomu bylo v případě Držovic. Odpůrci poukazují na finanční náročnost a zbytečné zvýšení byrokracie a zpochybňují výhodnost v případě města velikosti jako je Prostějov.	18	
19	Smlouvy na internetu	Všechny smlouvy města budou povinně zveřejněny na internetu.	Podle „Rekonstrukce státu“ se jedná o jedno z nejúčinnějších protikorupčních opatření, zvýší se rovněž transparentnost při zadávání veřejných zakázek. Smlouvy na internetu se zveřejňují ve všech „západních“ zemích, rovněž ale i na Slovensku. Odpůrci z řad starostů a hejtmanů (Svaz měst a obcí společně s Asociací krajů ČR) upozorňují na zvýšenou byrokratickou a finanční zátěž.	19	
20	Společenský sál	Město by mělo důsledně hájit své zájmy ve vztahu k firmě Manthellan a požadovat společenský sál dle původního zadání.	Podle zastánců původní projekt obchodní galerie počítá se společenským sálem a měl by se dodržet. Odpůrci upozorňují, že společenský sál může být v jiné části města, protože je nutné mít více obchodních prostor v centru.	20	
21	Preferované sporty	Měla by být omezena podpora tzv. preferovaným sportům (tenis, hokej, basketbal) ve prospěch mládežnického sportu.	Zastánci omezení se domnívají, že by více peněz měly dostat mládežnické kluby, základní školy a amatérští sportovci, podle odpůrců přináší tyto sporty městu propagaci.	21	
22	Zimní stadion	Zimní stadion by měl být modernizován.	Podle zastánců modernizace je stadion v nevyhovujícím stavu, podle odpůrců tato investice není potřebná a zatížila by rozpočet města.	22	
23	Církevní škola	Město by mělo pronajmout své prostory pro účely církevní základní školy.	Rada města v letech 2010-2014 neschválila pronájem své budovy na Komenského ulici Cyrilometodějskému gymnáziu pro účely zřízení církevní základní školy. Rada města se domnívala, že by o školu nebyl zájem, podle odpůrců tohoto rozhodnutí by konkurenční prostředí zlepšilo kvalitu školství.	23	
24	Městský architekt	Měla by být zřízena funkce městského architekta.	Podle zastánců by městský architekt dohlížel na jednotnou koncepci rozvoje města, odpůrci zdůrazňují, že tato funkce nemá oporu v zákoně.	24	
25	Audit hospodaření	Měl by být proveden audit hospodaření města za posledních 10 let.	Podle zastánců by to mohlo přinést odpovědi na různé spekulace, podle odpůrců je to zbytečné, protože dosavadní hospodaření města je v pořádku.	25	
26	Severní obchvat	Severní obchvat by měl být napojen na ulici Pod Kosířem.	Podle zastánců by se tím snížily hodnoty znečištění ovzduší, podle odpůrců se jedná o nevhodný zásah dopravy do obytného území.	26	
27	Územní plán	Územní plán v navržené a schválené podobě je vyhovující a v pořádku.	Zastupitelstvo 2010-2014 v červnu 2014 schválilo územní plán, který podle odpůrců obsahuje chyby.	27	
28	Zrušení obchodní společnosti Společenský dům	Zrušení obchodní společnosti Společenský dům byl správný krok.	Zastupitelstvo schválilo zrušení své firmy, která spravovala budovu KaSCentra. Zastánci převedení společnosti pod Domovní správu zmiňovali ušetřené náklady v řádu statisíc, odpůrci se domnívají, že je to další krok pro výstavbu obchodního centra na místě budovy společenského domu.	28	
29	Výdaje na marketing	Měly by být omezeny výdaje na marketing města.	V současné době veřejnou zakázku na marketing města plní společnost TK plus, která zvítězila ve výběrovém řízení s nabídkou ve výši 3,5 milionů ročně. Odpůrci se domnívají, že nejde o vhodně vynaložené prostředky, podle zastánců to přináší městu dostatečnou propagaci.	29	
30	Inventura bytových a nebytových prostor	Měla by být provedena inventura bytových a nebytových prostor v majetku města	Podle zastánců jsou některé tyto prostory nevyužité, podle odpůrců by to bylo administrativně náročné.	30	
31	Muzeum oděvnictví	Město by se mělo zasadit o vznik muzea oděvnictví.	Podle zastánců by to mohlo podpořit turistický ruch ve městě, podle odpůrců jsou to zbytečné výdaje.	31	
32	Veřejné WC na ul. Školní	Investice tří miliónů korun do nových veřejných WC na ul. Školní byl špatný krok, otevírací doba je nedostačují a měla by se změnit.	Podle zastánců nová budova veřejného WC byla předražená a zbytečná. Když už se budova postavila, otevírací doba by měla být i v sobotu odpoledne a po celou neděli. Podle Rady města je investice v pořádku. Otevírací doba je standardní jako pro všechna veřejná WC na území města.	32	
33	Úřední hodiny	Úřední hodiny magistrátu jsou dostačující.		33	
34	Majetkové přiznání primátora	Má primátor dobrovolně zveřejňovat majetkové přiznání zahrnující všechny rodinné příslušníky?	Zastánci zveřejňování uvádějí, že tato povinnost je běžná u vysokých politiků státu, např. u poslanců. Odpůrci argumentují, že se jedná o přílišný zásah do práv jednotlivce.	34	
35	Majetková přiznání zastupitelů	Mají členové zastupitelstva zveřejňovat majetková přiznání zahrnující všechny rodinné příslušníky?	Zastánci zveřejňování uvádějí, že tato povinnost je běžná u vysokých politiků státu, např. u poslanců a jedná se o protikorupční opatření. Odpůrci uvádějí, že se jedná o přílišný zásah do práv, jde o populistický požadavek, který je nepřezkoumatelný.	35	
36	Speciální web ke změnám ÚP	Měl by být vytvořen speciální web, kde budou na mapě zobrazeny odkazy k projednávaným změnám územního plánu?	Zastánci zmiňují větší přehlednost připravovaných změn. Odpůrci namítají finanční nákladnost tohoto požadavku.	36	
37	Transparentní účty	Má mít magistrát transparentní účty, do kterých lze veřejně nahlížet?	Zastánci uvádějí nutnost kontroly, jak město s penězi nakládá. Odpůrci se domnívají, že je to komplikované a že hrozí únik osobních údajů.	37	
38	Výsadba stromů a alejí	Mělo by město investovat do obnovy alejí na okraji města a výsadby vzrostlých stromů v centru?	Zastánci uvádějí přínos pro životní prostředí. Odpůrci namítají finanční nákladnost při tak rozsáhlém katastru a překládce inženýrských sítí i těžkostmi při zaúčtování výsadby a péče o stromy na cizích pozemcích.	38	
39	Více městských policistů	Mělo by být více městských policistů?	Zastánci uvádějí zvýšení pocitu bezpečí. Odpůrci namítají, že aktuálně byl počet strážníků navýšen, ale doposud nebyla vyhodnocena efektivita tohoto opatření.	39	
40	Kamerový systém	Měly by ve městě být instalovány další kamery?	Zastánci uvádějí zvýšení bezpečnosti problémových lokalit, odpůrci namítají přílišný zásah do osobních práv a přesun kriminality do jiných míst.	40	
41	Prostupné bydlení	Má město vytvořit systém prostupného bydlení holobyt-ubytovna-nájemní byt?	Zastánci argumentují důležitostí motivace nepřizpůsobivých, jakožto i prevencí vzniku vyloučených lokalit v Prostějově. Odpůrci namítají, že ve městě je dostatečný počet volných ubytoven a bytů.	41	
42	Kovový odpad pouze v městské sběrně	Má město přijmout obecně závaznou vyhlášku o odpadech s možností odevzdávat kovový odpad pouze v městské sběrně?	Zastánci uvádějí snížení množství krádeží kovů. Odpůrci argumentují vznikem černých skládek a omezením podnikání.	42	
