id	name cs	question cs	description cs	weight		další poznámky
16	Rozvojová pomoc EU	EU by měla zvýšit prostředky na zahraniční pomoc.	EU je největším světovým poskytovatelem rozvojové pomoci. Podle zastánců rozvojová pomoc pomáhá v cílových zemích a zabraňuje tak mj. populační explozi a snižuje emigraci do bohatších zemí, např. zemí EU. Podle odpůrců podstatná část je rozkradena vládními vrstvami a zločineckými strukturami a nedostane se tak k těm, kterým je určena.	25		
17	Společné evropské dluhopisy	Měly by být zavedeny společné evropské dluhopisy pro země eurozóny.	Pomocí společných evropských dluhopisů (eurobondů) by investoři půjčovali finance eurozóně jako celku. Eurobondy mají pomoci řešit dluhovou krizi snížením nákladů úvěrů pro země jako Řecko nebo Portugalsko, což by pomohlo jim i celé eurozóně. Kritici upozorňují na morální hazard, jednotlivé země by nesly nižší riziko a mohly se chovat nezodpovědně.	24		
18	Sňatky osob stejného pohlaví 	Členské státy musí uznat sňatky osob stejného pohlaví, které jsou uzavřeny v jiné členské zemi EU.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zastánci požadují stejná práva pro homosexuální dvojice v celé EU. Odpůrci odmítají uznávat registrované partnerství např. z náboženských důvodů.	23		
19	Azylové zákony	Podmínky pro udělení azylu by měly být stejné ve všech členských státech EU	Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo "přelévání" lidí, hledajících azyl, z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měla zůstat na národní úrovni.	22		
20	Evropské daně	EU by měla vybírat evropské daně, které by nahradily existující příspěvky členských států.	V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedením evropské daně by se zvýšila nezávislost rozpočtu EU na členských zemích.	21		
21	Vystoupení z EU	Česká republika by měla vystoupit z EU.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko.	20		
22	Federalizace EU	EU by se měla stát federací.	Státní moc je ve federaci rozložena mezi federální orgány a orgány členských zemí, což je zajištěno ústavou. Federací jsou např. USA, Rusko, Brazílie nebo Indie. Naopak ale arabské nebo latinsko-americké země jsou samostatné, i přesto že se tam mluví jedním jazykem. 	19		není v pravomoci EU
23	Komise dle voleb	Složení Evropské komise by mělo odpovídat výsledkům eurovoleb.	Do Evropské komise ("evropské vlády") její komisaře nyní nominují vlády členských zemí EU. Komise tedy neodpovídá výsledkům eurovoleb, např. je v ní jeden nutně jeden komisař z každé země (z největšího Německa i z nejmenší Malty). 	18		
24	Evropské referendum	Měla by být možnost vypsání celoevropského referenda na základě petice. 	Český občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.	17		
25	Zrušení letního času 	Letní čas by měl být zrušen.	Letní čas se používá, neboť mnoho aktivit ve společnosti se řídí hodinami a nemění se v průběhu roku (školy, zaměstnání), ač čas denního světla se mění. Původně byl zaveden s cílem šetřit energii, ačkoli nyní je již tento efekt minimální. Letní čas je zaváděn po celé Evropě, poprvé na světě v Rakousku-Uhersku 1916.	16		konkretizovat, není mi jasné, jak je to myšleno (jako že by v komisi měly být proporčně zastoupeny všechny frakce přítomné v EP? Nebo že by předseda Komise měl být z vítězné strany?)
26	Euro-záruka na zboží	Zboží zakoupené v EU by měĺo být možné reklamovat u stejné firmy v jakékoliv zemi EU	Reklamovat zboží obecně nelze u pobočky stejné firmy v jiné zemi EU. Např. v rámci ČR to ale ze zákona možné je. 	15		
27	Euro-živnost	Živnostenský list by měl stačit k výkonu daného řemesla či podnikání po celé EU. 	V současné době nelze např. na základě českého živnostenského listu dlouhodobě podnikat na Slovensku. Ale stejný živnostenský list platí po celé ČR. 	14		
28	Erasmus na středních školách	Erasmus by měl být rozšířen i na střední školy.	Program Erasmus podporuje studenty vysokých škol, aby část studia proběhla v jiné zemi EU. Náklady Erasmu z rozpočtu EU jsou nyní zhruba 2 miliardy eur ročně.	13		
29	Stejné sazby DPH 	Sazby DPH by měly být sjednocené v celé EU.	Výše daně z přidané hodnoty je v pravomoci členských zemí a je různá v celé EU, základní sazba od 15 do 27 %, např. u potravin potom mezi 0 a 27 %. Tyto rozdíly některé obchodníky zvýhodňují a jiné znevýhodňují.	12		
30	Registrace auta	Registrace auta by měla platit po celé EU. 	Nyní je nutné pro auto koupené v jiné zemi EU zařídit speciální "převozní číslo", krátkodobé povinné ručení a po dovozu ho přeregistrovat. Starší auta nelze v jiné zemi EU kupovat vůbec. 	11		
31	Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být schválena.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.	10		
32	Dálniční známka 	Měla by existovat speciální dálniční známka (nebo podobný systém) platná v celé EU 	V současné době v 7 zemích EU existují dálniční známky a v dalších 10 se platí mýtné. Naopak povinné ručení - "zelená karta" - platí po celé EU. 	9		
33	Žárovky	Prodej žárovek nad 60W by měl být opět povolen.	Nařízení EU zakazuje prodej žárovek nad 60W. Bylo zavedeno z důvodu omezení plýtvání energií. Podobné platí např. i ve Švýcarsku, Rusku, Austrálii, Kanadě nebo Brazílii. Oponenti argumentují, že alternativy k žárovce jsou dražší a nehodí se na všechna použití. 	8		
34	Policie EU	Měla by se zvětšit policie EU. 	V současné době na úrovni EU působí jen Europol s méně než 1000 zaměstnanců. Podle zastánců by zvětšení této instituce zvýšilo bezpečnost, podle odpůrců by policie měla zůstat v pravomoci členských států.	7		
35	Nižší dotace pro zemědělství	Dotování zemědělců z peněz EU by se mělo snížit.	Více jak 1/3 rozpočtu EU jde na podporu zemědělství, z největší části na přímé dotace zemědělcům. Podle zastánců podpora zemědělství zvyšuje soběstačnost EU oproti dovozu potravin ze zemí mimo EU a zvyšuje životní úroveň na venkově. Podle odpůrců je příliš nákladná a zvyšuje ceny pro zákazníky.	6		Text otázky je obvious bullshit, každý na to řekne "včera jsem si koupil žárovku v pohodě". Ty detaily musí být rovnou v textu otázky.
36	Data o cestujících do USA	Letecké společnosti by měly dále posílat data o cestujících do USA.	Letecké společnosti jsou nyní nuceny posílat veškeré údaje o cestujících do USA tamnímu Ministerstvu vnitřní bezpečnosti, které je dle dohody s EU legálně ukládá na 10 let. Zastánci obhajují opatření bojem proti terorismu. Oponenti ukazují na slabou ochranu těchto dat proti zneužití.	5		Otázka nejasná. Navíc Europol je spíš o policejní spolupráci, není to přímo "policie" v běžném slova smyslu. Spíš bych se ptal na úřad evropského žalobce.
37	Délka copyrightu	Doba ochrany autorských děl by se měla v EU zkrátit.	Autorská díla jako knihy nebo filmy jsou v EU chráněna po dobu 70 let od úmrtí autora, hudba po dobu 50 let. Obhájci argumentují tím, že bez takové ochrany by některá díla ani nevznikla. Kritici upozorňují, že takto dlouhá ochrana omezuje tvorbu odvozených děl a že tato ochrana původně fungovala jen jako ochrana autora před vydavatelem, nikoliv pro nekomerční využití. 	4		
38	Omezení volného pohybu pracovníků	Země EU by měly mít možnost omezit zaměstnávání občanů z jiných zemí EU. 	Volný pohyb zaměstnanců (možnost být zaměstnán v jakékoliv zemi EU) je jednou ze základních svobod v EU. Kritici argumentují např. zneužíváním sociálního systému cílové země. Obhájci ukazují, že země, kde lidé z jiných zemí pracují, na tom celkově ekonomicky vydělává.	3		
39	Fiskální pakt	ČR by měla přistoupit k tzv. Fiskálnímu paktu	Tzv. Fiskální pakt podepsaly všechny země EU mimo ČR a Velkou Británii. Pakt mj. určuje omezení na schodek státních rozpočtů zemí EU (0.5 - 1 % z HDP). Nedodržení může vést k finančním sankcím, ale jen pro země platící eurem. Oponenti ukazují na podřízení státního rozpočtu Evropské komisi. Obhájci říkají, že zamezí vládám nadměrně zadlužovat zemi. 	2		
40	Tuzemský rum a pomazánkové máslo 	EU by měla přestat určovat podrobné normy pro potraviny.	V EU existují normy, které okrem mj. vyhrazují prodejní označení 'máslo' pro produkty obsahující alespoň 80 % mléčného tuku, odtud povinnost stáhnout název 'pomazánkové máslo', které obsahuje tuku výrazně méně. Podobně 'rum' musí obsahovat alkohol z cukrové třtiny, čemuž tak není v případě 'tuzemského rumu'. 	1		
41	Euro	V České republice by se mělo zavést Euro do roku 2020.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá v Německu, Rakousku, na Slovensku, ale v Polsku ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastánců by přijetí Eura bylo ekonomicky výhodné, podle odpůrců tomu tak není.	0.5		
