id,,,answer,Zeman,detail,,
41,Místo ČR je v jádru EU.,"Jednou z možností dalšího vývoje EU je ""dvou- či vícerychlostní EU"". V takové případě se země ještě více rozdělí na integrovanější ""jádro EU"" a ostatní země.",0,Nevíme,"V roce 2013 byl pro: Prezident Miloš Zeman podpořil myšlenku evropské federace, která by nakonec měla i společné daně. -  https://zpravy.idnes.cz/zeman-je-pro-spolecnou-danovou-politiku-evropske-unie-p1l-/domaci.aspx?c=A130403_131658_domaci_kop","V roce 2013 byl pro: Prezident Miloš Zeman podpořil myšlenku evropské federace, která by nakonec měla i společné daně.", https://zpravy.idnes.cz/zeman-je-pro-spolecnou-danovou-politiku-evropske-unie-p1l-/domaci.aspx?c=A130403_131658_domaci_kop
42,Státy EU mají řešit otázky týkající se azylu a uprchlictví jednotně a koordinovaně.,Některé země EU včetně ČR v nedávné minulosti odmítaly společný postup v otázce uprchlíků.,-1,Ne,"Zeman se domnívá, že každá země si má sama rozhodnout, koho umístí na své území. - http://tn.nova.cz/clanek/zeman-nehodlam-ustupovat-tlaku-eu-kvoty-jsou-ztratou-suverenity.html","Zeman se domnívá, že každá země si má sama rozhodnout, koho umístí na své území.",http://tn.nova.cz/clanek/zeman-nehodlam-ustupovat-tlaku-eu-kvoty-jsou-ztratou-suverenity.html
45,Má existovat možnost celostátního referenda vypisovaného na základě petice.,"Česká Ústava referendum zmiňuje, ale neexistuje k němu obecný zákon. Zatím se v ČR konalo jen jedno referendum na základě speciálního zákona - o vstupu ČR do EU.",1,Ano,"„S výjimkou několika drobností, které spíš vyžadují zpřesnění než zásadní změnu, bych doporučil Poslanecké sněmovně tento zákon schválit,“ řekl při svém projevu Zeman. - http://www.ceskatelevize.cz/ct24/domaci/1721401-zive-snemovna-resi-referendum-slovo-dostane-prezident","„S výjimkou několika drobností, které spíš vyžadují zpřesnění než zásadní změnu, bych doporučil Poslanecké sněmovně tento zákon schválit,“ řekl při svém projevu Zeman.",http://www.ceskatelevize.cz/ct24/domaci/1721401-zive-snemovna-resi-referendum-slovo-dostane-prezident
48,Handicapované děti se mají většinově vzdělávat odděleně od nehandicapovaných.,"V současnosti se v ČR stále více prosazovalo inkluzivní vzdělávání, tedy společné vzdělávání pro co nejvíce dětí, kdy ""speciální vzdělávání"" je vyhraženo jen pro nejtěžší postižení.",1,Ano,"Nejsem zastáncem názoru, že by děti, které jsou určitým způsobem handicapovány, měly být umísťovány do tříd s nehandicapovanými žáky. - https://zpravy.aktualne.cz/domaci/prehledne-co-rekl-prezident-zeman-o-inkluzi-handicapovanych/r~c7abbd569d6311e4833a0025900fea04/","Nejsem zastáncem názoru, že by děti, které jsou určitým způsobem handicapovány, měly být umísťovány do tříd s nehandicapovanými žáky.",https://zpravy.aktualne.cz/domaci/prehledne-co-rekl-prezident-zeman-o-inkluzi-handicapovanych/r~c7abbd569d6311e4833a0025900fea04/
52,Glyfosát (Roundup) má být zakázán.,"Glyfosát je nejpoužívanější pesticid v ČR, je např. účinnou složkou v prostředku proti plevelu Roundup. Je řazen mezi pravděpodobné lidské karcinogeny, tj. látky způsobující rakovinu.",0,Nevíme,,,
53,ČR má více podporovat rozvoj obnovitelných zdrojů energie.,,-1,Ne,Zeman: Odmítám podporu obnovitelných zdrojů. - https://byznys.lidovky.cz/odmitam-podporu-obnovitelnych-zdroju-chci-jadro-prohlasil-zeman-pyg-/energetika.aspx?c=A140429_164513_energetika_mev,Zeman: Odmítám podporu obnovitelných zdrojů.,https://byznys.lidovky.cz/odmitam-podporu-obnovitelnych-zdroju-chci-jadro-prohlasil-zeman-pyg-/energetika.aspx?c=A140429_164513_energetika_mev
57,Globální změny klimatu jsou z velké části způsobené lidskou činností.,"Aktuální globální změna klimatu (globální oteplování) přinesla např. rychlé oteplení celoplanetárně zhruba o 1°C za poslední století. To vede ke zvyšování hladin moří či větším extrémům v počasí. Současný vědecký konsensus je, že změna je z velké části způsobena lidskou činností. Jiní lidé ale tento závěr nepřijímají.",-1,Ne,"Hrozba globálního oteplování je hysterie, kterou vyvolali ekologičtí lobbisté - http://www.enviweb.cz/80489","Hrozba globálního oteplování je hysterie, kterou vyvolali ekologičtí lobbisté",http://www.enviweb.cz/80489
58,Minimální hrubá mzda má být nejméně 14 000 Kč měsíčně.,Minimální mzda v ČR od roku 2018 je 12 200 Kč.,0,Nevíme,"Zeman podporoval zvyšování minimální mzdy, ale na 40 % průměrné mzdy, což je méně než dnešní minimální mzda - https://zpravy.tiscali.cz/zemanovy-navrhy-zvysme-minimalni-mzdu-na-40-prumerne-222220","Zeman podporoval zvyšování minimální mzdy, ale na 40 % průměrné mzdy, což je méně než dnešní minimální mzda",https://zpravy.tiscali.cz/zemanovy-navrhy-zvysme-minimalni-mzdu-na-40-prumerne-222220
60,Lidé s vyššími příjmy mají platit procentuálně vyšší daně.,"V ČR existuje „rovná daň z příjmu 15 %“. Díky slevě na poplatníka ovšem jde ve skutečnosti o daň mírně progresivní, tj. lidé s vyšším platem platí i procentuálně vyšší daň. Např. v Německu procento daně postupně roste, z příjmů zhruba nad 500 000Kč/měsíc se platí 45% daň.",1,Ano,Pan prezident je obecně pro zavedení daňové progrese […] - https://zpravy.idnes.cz/progresivni-zdaneni-cssd-poslanci-by-prisli-o-tisice-p02-/domaci.aspx?c=A170223_082716_domaci_ale,Pan prezident je obecně pro zavedení daňové progrese […],https://zpravy.idnes.cz/progresivni-zdaneni-cssd-poslanci-by-prisli-o-tisice-p02-/domaci.aspx?c=A170223_082716_domaci_ale
61,K zajištění důchodů je nutné nadále zvyšovat věk odchodu do důchodu i nad 65 let.,Věk odchodu do důchodu je dnes ČR 63 let pro muže a 61 let pro ženy a postupně se dle zákona zvyšuje o několik měsíců ročně. V roce 2017 ale bylo schváleno maximum na 65 let.,-1,Ne,Podepsal bez výhrad zastropování věku odchodu do důchodu na 65 let. - https://www.novinky.cz/domaci/441403-vek-odchodu-do-penze-bude-omezen-a-rodiny-s-detmi-si-polepsi-stvrdil-zeman.html,Podepsal bez výhrad zastropování věku odchodu do důchodu na 65 let.,https://www.novinky.cz/domaci/441403-vek-odchodu-do-penze-bude-omezen-a-rodiny-s-detmi-si-polepsi-stvrdil-zeman.html
62,Mají stát či obce zajišťovat levné sociální bydlení alespoň pro 1 % nejchudších?,"Sociální bydlení je pomoc domácnostem, které si nedokáži bydlení sami zajistit. Např. v Brně aktuálně testují systém přidělování standardních nájemních bytů rodinám s dětmi, které bydlely na ubytovnách či azylových domech. Podobné systémy fungují i v jiných městech. Nicméně stále jsou dostupné jen zlomku potřebných.",-1,Ne,"Miloš Zeman zopakoval a přiostřil své dosavadní výroky na adresu nezaměstnaných a sociálně slabých lidí z ghett. Vzal by jim příspěvky na bydlení, aby vyřešil problém s předraženými ubytovnami. - http://tn.nova.cz/clanek/zadna-podpora-ani-davky-na-bydleni-vzkazal-zeman-lidem-z-ghett.html","Miloš Zeman zopakoval a přiostřil své dosavadní výroky na adresu nezaměstnaných a sociálně slabých lidí z ghett. Vzal by jim příspěvky na bydlení, aby vyřešil problém s předraženými ubytovnami.",http://tn.nova.cz/clanek/zadna-podpora-ani-davky-na-bydleni-vzkazal-zeman-lidem-z-ghett.html
63,Předluženým lidem se mají po čase poctivého splácení smazat všechny dluhy.,"Předlužení lidé nemají šanci svoje závazky splatit. Dnes mohou žádat o oddlužení (osobní bankrot), když během 5 let splácejí vše, co mohou, a splatí alespoň 30 % dlužné částky. Aktuální vládní návrh umožňuje oddlužení všem lidem, co 7 let splácejí poctivě. Umožnilo by to jejich návrat do legálního ekonomické života za cenu zhoršení postavení věřitelů.",0,Nevíme,,,
67,Národní podnik Budějovický Budvar by měl být privatizován.,Budějovický Budvar je jediný státem vlastněný pivovar v ČR. Budvar je dlouhodobě ziskový.,-1,Ne,Prezident Miloš Zeman je proti privatizaci Budvaru. - https://www.tyden.cz/rubriky/byznys/cesko/zeman-je-proti-privatizaci-budvaru-boji-se-piva-z-ryze_298490_diskuze.html,Prezident Miloš Zeman je proti privatizaci Budvaru.,https://www.tyden.cz/rubriky/byznys/cesko/zeman-je-proti-privatizaci-budvaru-boji-se-piva-z-ryze_298490_diskuze.html
69,Projekt elektronické evidence tržeb (EET) se má zrušit či omezit.,"Elektronická evidence tržeb je systém, kdy každý, kdo v ČR prodává za hotové nebo přes platební kartu, musí informace o každé přijaté platbě okamžitě zaslat přes internet finančnímu úřadu.",-1,Ne,Elektronickou evidenci tržeb (EET) považuje prezident Miloš Zeman za nástroj pro boj proti daňovým únikům a podvodům. - http://www.ceskenoviny.cz/zpravy/zeman-eet-je-nastroj-boje-s-danovymi-uniky-s-hodnocenim-pockam/1456488,Elektronickou evidenci tržeb (EET) považuje prezident Miloš Zeman za nástroj pro boj proti daňovým únikům a podvodům.,http://www.ceskenoviny.cz/zpravy/zeman-eet-je-nastroj-boje-s-danovymi-uniky-s-hodnocenim-pockam/1456488
71,Registr smluv má být zrušen.,"V registru smluv se povinně zveřejňují všechny smlouvy veřejných institucí či veřejně vlastněných firem. 30 senátorů nyní podalo podnět k Ústavnímu soudu, kde říkají, že zveřejňováním smluv jsou veřejné firmy znevýhodněny před konkurencí. Zastánci registru argumentují, že např. obchodní tajemství se nemusejí v registru zveřejňovat.",0,Nevíme,,,
74,Měly by se znovu zavést tzv. regulační poplatky za návštěvu lékaře.,"V letech 2008-2014 se v ČR platily tzv. regulační poplatky za zdravotní úkony u lékaře. Podle zastánců zabraňovaly plýtvání zdravotní péčí, podle odpůrců vedly ke zhoršení dostupnosti zdravotní péče zejména pro sociálně slabé pacienty. Podobné poplatky existují např. na Slovensku nebo v Německu, jinde jsou neznámé.",-1,Ne,Novelu podepsal prezident Zeman. - https://zpravy.aktualne.cz/domaci/poplatky-u-lekare-a-za-recept-konci-zeman-podepsal-novelu/r~e06f98ba65c511e4b5c5002590604f2e/,Novelu podepsal prezident Zeman.,https://zpravy.aktualne.cz/domaci/poplatky-u-lekare-a-za-recept-konci-zeman-podepsal-novelu/r~e06f98ba65c511e4b5c5002590604f2e/
75,Reklama na léky hrazené ze zdravotního pojištění by měla být zakázána.,"Kritici upozorňují, že reklama zvyšuje cenu léků a vytváří tlak na pacienty, aby požadovali více léků. Farmaceutické firmy říkají, že reklamy pomáhají lidi lépe informovat o zdravotní péči a možnostech léčby.",0,Nevíme,,,
78,V restauracích má být nadále zakázáno kouření.,V ČR platí zákaz kouření ve všech restauracích od konce května 2017.,-1,Ne, Za lepší řešení než úplný zákaz kouření v restauracích ale Zeman pokládá oddělené prostory pro kuřáky a nekuřáky. - https://zdravi.euro.cz/denni-zpravy/z-domova/zeman-uplny-zakaz-koureni-v-restauracich-vetovat-nebude-479032, Za lepší řešení než úplný zákaz kouření v restauracích ale Zeman pokládá oddělené prostory pro kuřáky a nekuřáky.,https://zdravi.euro.cz/denni-zpravy/z-domova/zeman-uplny-zakaz-koureni-v-restauracich-vetovat-nebude-479032
82,V ČR má být zakázána stavba minaretů.,"Minarety jsou věže sloužící ke svolávání k motlitbám, které jsou součástí některých mešit. V ČR dnes žádná mešita minaret nemá.",0,Nevíme,,,
83,Homosexuální páry mají mít možnost adoptovat děti.,"Ústavní soud rozhodl, že v ČR může adoptovat dítě i homosexuál žijící v registrovaném partnerství, druhý partner ale nebude mít k dítěti žádná rodičovská práva. Adopce homosexuálními páry je možná např. v Nizozemí, ve Švédsku či v Norsku.",1,Ano,Prezidentští kandidáti připustili adopci dětí homosexuály - https://www.tyden.cz/rubriky/domaci/boj-o-hrad/prezidentsti-kandidati-pripustili-adopci-deti-homosexualy_259230.html,Prezidentští kandidáti připustili adopci dětí homosexuály,https://www.tyden.cz/rubriky/domaci/boj-o-hrad/prezidentsti-kandidati-pripustili-adopci-deti-homosexualy_259230.html
85,Nové státní instituce mají být rozmísťovány po celé ČR.,"Dnes je velká většina institucí či úřadů s celostátní působností v Praze. Takové instituce mají mj. přímý pozitivní ekonomický vliv na své okolí - peníze ze společných daní vydané na chod takové instituce jsou utráceny převážně v jejím blízkém okolí, podporuje se zaměstnanost v místě. Zmenšuje se rozdělení na centrum a periférii.",0,Nevíme,,,
86,Vlastnit zbraň má být ústavní právo,"Sněmovna schválila změnu ústavního zákona, že občané ČR mají právo nabývat, držet a nosit zbraně a střelivo, aby se mohli podílet na zajišťování bezpečnosti ČR.",0,Nevíme,,,
88,"Provozovatelé velkých sociálních sítí mají mít povinnost smazat výhrůžky násilím nebo ""falešné zprávy"".","V Německu nedávno schválili zákon, který přikazuje provozovatelům velkých sociálních sítí jako je Facebook blokovat či smazat nezákonný obsah zveřejněný uživateli. Spadá tam mj. nacistická propaganda, podněcování k nenávisti či ""fake news"" (záměrně falešné zprávy).",0,Nevíme,,,
89,Pěstovat marihuanu pro vlastní potřebu by mělo být legální.,"V současnosti je v ČR pěstování konopí (marihuany) v malém množství přestupek, v množství větší než malém potom trestný čin.",0,Nevíme,,,
90,Benešovy dekrety byly svého času projevem bezpráví.,Jedná se o parafrázi výroku tehdejšího rakouského prezidenta Fischera z roku 2010. Benešovy dekrety mj. vedly k nucenému vysídlení Němců z ČSR v letech 1945-1946 a konfiskaci jejich majetku.,0,Nevíme,,,
