id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
14	Výuka romštiny	Měla by se podporovat možnost výuky romštiny jako volitelného předmětu, pokud o ni bude mezi žáky zájem.	V ČR platí zákon, že národnostní menšiny mají právo na výuku ve svém jazyce. Zatímco v ČR fungují školy např. v polštině, romština není v ČR ani volitelným předmětem (mj. nejsou vyškolení učitelé). Např. na Slovensku místy je.	14	
15	Omezení imunity	Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.	Poslanci a senátoři nemohou být trestně stíháni, pokud je Parlament odmítne vydat. V takovém případě už za daný skutek nemohou být stíháni nikdy. Podle zastánců jde o pojistku proti politickému pronásledování zákonodárců, podle odpůrců brání imunita v legitimním vyšetřování trestné činnosti zákonodárců.	15	
16	Zrušení regulačních poplatků	Regulační zdravotnické poplatky by měly být zrušeny.	V ČR byly zavedeny regulační poplatky za zdravotní úkony a za pobyt v nemocnicích. Podle zastánců zabraňují plýtvání zdravotní péčí, podle odpůrců vedou ke zhoršení dostupnosti zdravotní péče zejména pro sociálně slabé pacienty. Podobné poplatky existují v řadě zemí, jako je Slovensko nebo Německo, jinde jsou neznámé.	16	??
17	Zákaz interupce	Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.	Interrupce na žádost matky je v ČR možná stejně jako např. na Slovensku, v Rakousku či na Ukrajině. V Polsku je naopak zakázána až na určité výjimečné případy. Podle zastánců je právo na potrat základním právem ženy, podle odpůrců je nemorální.		
18	Zrušení Senátu	Senát by měl být zrušen.	Při volbách do Senátu je dlouhodobě nejnižší účast (srovnatelná jen s účastí v „eurovolbách“). Podle zastánců Senát plní funkci "pojistky" a pomáhá při vytváření kvalitnějších zákonů, podle odpůrců jde o zbytečnou instituci. Obdoba Senátu existuje v Polsku, např. v Německu jsou „senátory“ zástupci zemských vlád. Na Slovensku a v Maďarsku Senát není.		
19	Zrušení 2. důchodového pilíře	Tzv. druhý pilíř důchodové reformy by měl být zrušen.	V roce 2013 byl zaveden tzv. druhý pilíř důchodového systému. Ten umožnil přesun 3 % ze sociálního pojištění a další 2 % ze mzdy do soukromého penzijního fondu. Do 2. pilíře vstoupili zatím asi 80 000 lidí. Nyní se plánuje jeho zrušení.	19	
20	Poplatek za prázdná média (zrušení)	Měl by být zrušen poplatek za prázdná média.	V ČR je nutno z každého prázdného nosiče informací jako je paměťová karta do foťáku, počítačový disk apod., i z každého rozmnožovacího zařízení jako kopírka zaplatit poplatek, aby se tak kompenzovalo kopírování pro vlastní potřebu. Ten jde organizacím (např. OSA nebo DILIA), které zastupují část autorů.	20	
21	Adopce homosexuály	Homosexuální páry by měly mít možnost adoptovat děti.	V současné době mohou homosexuální páry uzavírat tzv. registrované partnerství, nemohou ovšem adoptovat děti. Adopce homosexuálními páry je legální např. v Nizozemí, ve Švédsku či v Norsku.	21	
22	Klouzavý mandát	Měl by být zaveden tzv. klouzavý mandát.	V ČR je možné i běžné, že ministři vlády jsou zároveň poslanci nebo senátory. Podle zastánců je kumulace funkcí prospěšná díky přenosu znalostí a zkušeností, podle odpůrců je těžko zvládnutelná. V řadě zemí existuje takzvaný „klouzavý mandát“ – za poslance nastupuje po dobu jeho členství ve vládě dočasný náhradník.	22	
23	Ústav pro studium totalitních režimů	Měl by být zachován Ústav pro studium totalitních režimů.	V ČR existujen tzv. Ústav pro studium totalitních režimů zabývající se "obdobím nacistické a komunistické totalitní moci", jehož Radu jmenuje Senát. Podle zastánců pomůže zabránit zkreslování historie, podle odpůrců nemůže být ústav politicky nestranný.	23	
24	Zákaz jízdy kamionů	Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.	Na silnicích v ČR platí nyní zákaz jízdy kamionů v neděli odpoledne a večer. Podle zastánců pomáhá toto opatření snížit dopravní zátěž tranzitních obcí, podle odpůrců omezení přepravy zboží snižuje hospodářský růst.	24	
25	Návrh zákona - petice	Občané by měli mít možnost předložit návrh zákona pomocí petice.	V ČR mají zákonodárnou iniciativu pouze poslanci, vláda, Senát a zastupitelstvo kraje. V řadě zemí mohou navíc občané předložit zákon do Parlamentu přímo, a to pomocí petice.	25	
26	Volby po internetu	Měla by být zavedena možnost volit po internetu.	Volit po internetu je možné např. v Estonsku. Podle zastánců to usnadňuje účast ve volbách, podle odpůrců počítačové systémy nejsou zcela bezpečné a existuje riziko volebního podvodu.	26	
27	Zákaz mešit	V ČR by měla být zakázána stavba mešit.	V ČR nyní stojí několik mešit a jiných muslimských modliteben. Podle zastánců jejich výstavby jde o vyjádření svobody vyznání, podle odpůrců existence mešit v ČR není v souladu s křesťanskou tradicí země.	27	
28	Trest smrti	V ČR by měl být zaveden trest smrti.	V ČR a v řadě dalších evropských zemí je nyní trest smrti nepřípustný. Podle jeho zastánců pomáhá díky své odstrašující funkci snižovat kriminalitu, podle odpůrců je nemorální a hrozí jeho zneužití a justiční omyly.	28	
29	Veřejné platy státních úředníků	Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.	V ČR jsou nyní platy a odměny politiků a státních úředníků neveřejné. Je možné o ně požádat na základě zákona o svobodném přístupu k informacím, úřady ale často odmítají údaje vydat. Např. ve Velké Británii jsou platy vysokých státních úředníků zveřejňovány státem.		
30	Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být v ČR schválena.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.	30	??
31	Kvóty pro ženy	Pro obsazování vysokých funkcí veřejných úřadů by měly být zavedeny kvóty pro ženy.	V některých skandinávských zemích jsou zavedeny kvóty pro ženy při obsazování některých volených funkcí. Podle zastánců zabraňují kvóty diskriminaci žen, podle odpůrců porušují rovnost pohlaví před zákonem.	31	
32	Přímá volba prezidenta	Prezident by měl být i nadále volen přímo občany.	V ČR byla zavedena přímá volba prezidenta a první taková volba proběhla v roce 2013.	32	
33	Majetková přiznání politiků	Poslanci a senátoři by měli mít povinnost vyplňovat majetková přiznání ke dni nástupu do funkce. 	Poslanci a senátoři dnes musí oznamovat majetek nabytý v době funkce. Chybí tak srovnání s výchozím stavem, což dle zastánců zpřísnění zákona neumožňuje ověřit pravdivost přiznání. 	33	
34	Transparentní účetnictví stran	Politické strany by měly vést povinně transparentní účetnictví. 	Podle zastánců povinného transparentního účetnictví stran tím např. dojde k omezení "tunelování" veřejných zakázek nebo evropských dotací ve prospěch politických stran. Odpůrci ukazují např. na zvýšení byrokracie pro politické strany.		
35	Bionafta	Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.	V současné době musí výrobci v ČR např. povinně přimíchávat 5 % bionafty do nafty vyrobené z ropy.	35	
