"Tabulka porovnání názorů politických stran";"ČPS (Piráti)";"ČSSD";"DSSS";"Foklor i společnost";"KDU-ČSL";"Konzervativní strana";"Koruna česká";"KSČM";"Moravané";"Nezávislí";"NEZávislí DEMokraté";"NS-LEV 21";"ODS";"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA";"Sdružení nestraníků";"SPO Zemanovci";"SSO (Strana svobodných občanů)";"Strana soukromníků České republiky";"Suverenita";"SZ (Strana Zelených)";"TOP09 a Starostové";"Volte Pravý Blok";"VV (Věci veřejné)"
"11. IDS JMK by měl být rozšířen i do spádových oblastí mimo území jihomoravského kraje.";"no_response_yet";"no_response_yet";"agree";"agree";"agree:important";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"12. Místo rozšiřování stávajících silnic budeme primárně stavět nové komunikace.";"no_response_yet";"no_response_yet";"disagree";"none";"disagree";"none";"no_response_yet";"no_response_yet";"none";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree:important";"disagree";"no_response_yet";"no_response_yet";"disagree";"disagree";"no_response_yet";"disagree"
"13. Na dopravce v IDS JMK by mělo být vypsáno nové výběrové řízení.";"no_response_yet";"no_response_yet";"disagree";"agree";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"none";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"14. Objem dopravy IDS JMK by měl odpovídat poptávce obyvatel, i přesto, že to může být ekonomicky nevýhodné.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"none";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"disagree";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"agree"
"15. Nepoužívané železnice by se neměly rušit, měly by být nabídnuty jiným subjektům se zájmem na provozování železniční dopravy.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"16. Zemědělská půda by neměla být používána ke stavebním účelům.";"no_response_yet";"no_response_yet";"agree:important";"agree";"agree:important";"disagree";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"none";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"agree"
"17. Mělo by být zřízeno více protialkoholních a gamblerských léčeben a také zahájena preventivní kampaň.";"no_response_yet";"no_response_yet";"agree";"agree";"disagree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"18. Cizinci by měli být začleňováni a integrováni do společnosti a kraj by na to měl vyčlenit prostředky.";"no_response_yet";"no_response_yet";"disagree";"disagree";"agree";"disagree";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"disagree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"19. Podpora cyklodopravy by měla růst na úkor dopravy automobilové, měla by se razantně rozšířit síť cyklostezek.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"20. Veřejná doprava v kraji by měla být zčásti dotována.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"21. Kraj by měl při rozhodování více spolupracovat s občany a neziskovými organizacemi.";"no_response_yet";"no_response_yet";"agree";"agree";"agree:important";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"none";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"22. Stromořadí kolem silnic by měla být zachována.";"no_response_yet";"no_response_yet";"none";"agree";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"none";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"23. Je třeba podpořit školy s alternativním vzděláváním.";"no_response_yet";"no_response_yet";"agree";"disagree";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"none";"no_response_yet";"agree"
"24. Kapacita osmiletých gymnázií v kraji by se měla snížit.";"no_response_yet";"no_response_yet";"disagree";"none";"agree";"disagree";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"none";"no_response_yet";"no_response_yet";"none";"agree";"no_response_yet";"agree"
"25. Střední školy  by se měly nadále slučovat do větších celků.";"no_response_yet";"no_response_yet";"disagree:important";"agree";"agree";"disagree";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"disagree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"agree";"no_response_yet";"disagree"
"26. Plat krajských úředníků a politiků by neměl být fixní, ale měl by se odvíjet od množství vykonané práce.";"no_response_yet";"no_response_yet";"agree";"agree";"disagree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"no_response_yet";"none";"disagree";"no_response_yet";"agree"
"27. Kraj by měl podporovat environmentální vzdělávání mládeže.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"agree"
"28. Kraj by se měl zasadit o navrácení Slovanské epopeje do Moravského Krumlova.";"no_response_yet";"no_response_yet";"agree";"disagree";"agree";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"29. Zvyšování zaměstnanosti nabíráním dalších úředníků do úřadů je dobrá praxe.";"no_response_yet";"no_response_yet";"disagree";"disagree";"disagree";"disagree";"no_response_yet";"no_response_yet";"none";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"disagree";"no_response_yet";"no_response_yet";"disagree";"disagree";"no_response_yet";"disagree"
"30. Krajský úřad by měl ukládat data výlučně do otevřených datových formátů, které jsou jednoduše strojově zpracovatelné.";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"31. Plat krajských politiků by neměl být fixní, ale měl by se odvíjet také od množství vykonané práce.";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"32. Některé krajské nemocnice by měly být privatizovány.";"no_response_yet";"no_response_yet";"disagree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"33. Lokální farmářské produkty by měly být podpořeny krajskými dotacemi.";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"34. Jihomoravský kraj by měl ukončit financování projektu Rodinné pasy.";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"35. Čeští politici by měli omezit styky se zástupci zemí porušujících lidská práva na minimum a nepodporovat investice těchto států v ČR.";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"36. Kraj by měl investorům dotovat využití zchátralých průmyslových zón tak, aby se jim tyto investice vyplatily.";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"37. Kraj by měl výrazněji investovat do specializovaných oddělení nemocnic než do běžné péče.";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
"38. Rychlostní silnice R43 by měla být – v jakékoliv variantě – co nejrychleji vystavěna.";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet"
