,otázka číslo,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6,PIRATEN,Piratenpartei Deutschland,1,-1,0,1,0,-1,1,1,1,0,-1,1,-1,-1,1,1,1,1,-1,0,0,0,1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,-1,-1,1
7,NPD,Nationaldemokratische Partei Deutschlands,1,1,-1,-1,1,0,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,0,1,-1,1,1,-1,1,1,0,0,1,1,-1,1,1,1,-1,1
8,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,0,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,0,-1,-1,1,1,1,1,1,-1,1
9,REP,DIE REPUBLIKANER,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1
10,ÖDP,Ökologisch-Demokratische Partei,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,0,-1,1,1,1,0,1,1,-1,1,1,1,0,1,1,0,-1,1
11,FAMILIE,Familien-Partei Deutschlands,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,1,0,1,1,0,-1,1,1,-1,-1,1,1,0,1,1,-1,-1,1
12,Bündnis 21/RRP,Bündnis 21/RRP,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,0,1,1,-1,-1,-1,-1,1,0,-1,1,0,1,1,1,-1,1,1,1,1,1,-1,-1,1
13,RENTNER,RENTNER Partei Deutschland,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,-1
14,BP,Bayernpartei,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,0,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1
15,PBC,Partei Bibeltreuer Christen,1,1,-1,1,1,1,-1,-1,0,-1,-1,0,1,-1,0,1,1,1,-1,-1,0,-1,-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1
16,BüSo,Bürgerrechtsbewegung Solidarität,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,0,0,-1,1,1,0,1,-1,1,-1,-1,0,-1,1,-1,1,1,0,-1,1
17,DIE VIOLETTEN,Die Violetten,1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1
18,MLDP,Marxistisch-Leninistische Partei Deutschlands,1,-1,1,0,0,-1,0,-1,1,1,1,1,-1,1,1,1,0,-1,-1,0,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1
19,Volksabstimmung,Ab jetzt... Demokratie durch Volksabstimmung,1,1,0,1,1,1,-1,1,0,1,0,0,1,-1,0,1,1,-1,-1,-1,0,1,0,0,1,0,1,1,-1,0,1,1,0,1,1,0,-1,1
20,PSG,"Partei für Soziale Gleichheit, Sektion der Vierten Internationale",1,-1,1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1
21,AfD,Alternative für Deutschland,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,0,1
22,BIG,Bündnis für Innovation & Gerechtigkeit,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,1
23,pro Deutschland,pro Deutschland Bürgerbewegung pro Deutschland,1,0,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,0,1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1,1
24,DIE FRAUEN,Feministische Partei DIE FRAUEN,1,-1,1,0,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,-1,1,-1,0,1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,-1,0,1
25,FREIE WÄHLER,FREIE WÄHLER,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,0,1,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,1,-1,-1,1
26,Partei der Nichtwähler,Partei der Nichtwähler,0,-1,0,1,1,0,0,0,0,-1,-1,0,0,-1,0,0,1,0,-1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,-1,0,1
27,PARTEI DER VERNUNFT,Partei der Vernunft,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1
28,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1,-1,-1,1,1,-1,1,1,1,1,-1,0,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,0,0,1,1,1,-1,1,1
