id	jméno otázky	otázka	popis	pořadí	další poznámky atd	
12	Cyklodoprava	Chcete, aby město výrazněji podpořilo cyklodopravu ?		12	Ve městě jsou špatně projektované cyklostesky, často si není kde uzamknout kolo, některým lidem cyklisté na ulicích vadí	
13	Vlastí MHD	Chcete, aby mělo město svou vlastní městskou hromadnou dopravu a investovalo do nákupů autobusů či jiných dopravních prostředků ?		13	část občanů MHD chce, část tvrdí, že jsme moc malé město na vlastní MHD	
14	Senior taxi 	Má se nadále zachovat služba Taxi pro seniory?		14	Služba placená z městských pěněz	
15	Tramvaje	Má se ve městě obnovit tramvajová doprava s možností napojit se na síť v Ostravě ?	Tramvajová doprava existovala v Bohumíně v letech 1902 až 1973	15	Tramvajová doprava existovala v Bohumíně v letech 1902 až 1973jen tak pro vtip, prár staromilců by to snad chtělo, ale každému je j, asné, že už to není možné	
16	Nadzemní parkoviště	Chcete aby ve městě byly postaveny nadzemní či podzemní garáže ?		16	Ve městě raketově příbývají parkoviště, příznivci tvrdí, že mít parkoviště 5 minut cesty chůze od domu je nepraktické, odpůrci, že je polovina parkovišt prázdná.	
17	Nákupní středisko	Jste pro, aby v prostoru okolí Kauflandu vyrostlo další nákupní středisko?	(za Rafinerským lesíkem)	17		
18	Veřejně prospěšní pracovníci	Souhlasíte s navýšením počtu veřejně prospěšných pracovníků?		18		
19	Bezdomovci na nádraží	Jste pro zachování denní místnosti pro bezdomovce na nádraží?		19		
20	Odkup ubytoven	Jste pro to, aby město odkoupilo ubytovnu na náměstí i za cenu, která několikanásobně převyšuje tržní?		20	Z výstavní části města se stalo ghetto, nikomu se to nelíbí, ale peníze jsou peníze	
21	Městská polcie	Měl by se posílit sbor městské policie ?		21	Někdo tvrdí, že máme policistů málo a nemůžou být všude, jiní zase že ve svých autech spí	
22	Romští asistenti	Měla by městská policie zaměstnat romské asistenty, kteří by chodili do problémových lokalit se strážníky a s možností, že se časem sami stanou strážníky?		22		
23	Kamery	Jste pro, aby ve městě byly instalovány další kamery ?		23		
24	Výkup kovů	Jste pro zákaz výkupů drahých kovů od nepodnikatelů v komerčních sběrnách surovin?	tento krok by měl zabránit stále častějším krádežím a nájezdům hlavně na domkaře, zároveň jde o zásah do volného podnikání	24		mediálně známé
25	Výkup kovů II	Jste pro to, aby občané museli odevzdávat kovový odpad pouze do městské sběrny a to bez odměny?		25		mediálně známe
26	SDH Kopytov	Měla by při SDH (sbor dobrovolných hasičů) Kopytov znovu vzniknout JPO (jednotka požární ochrany) 		26	(výjezdová jednotka)ožehávé téma, Kopytováci měli výjezdovou jednotku, část občanů na ní nedá dopustit, ostatní si myslí, že jsou "nenažraní" a potížisté i bez nich máme výjezdových jednotek 5  JPO3 a JPO5ky	
27	Památník padlým ve Starém Bohumíně	Měl by se památník padlým na náměstí ve Starém Bohumíně přesunout na hřbitov?		27		
28	Centrum pro podnikatele a řemeslníky	Mělo by ve městě vzniknout centrum pro začínající podnikatele a řemeslníky ?		28		
29	Smlouvy na internetu	Město by mělo zveřejňovat všechny své smlouvy na internetu.		29		
