id,order,name_cs,name_en,question_cs,question_en,description_cs,description_en,lower_vote_event_id,lower_bill_id,lower_polarity,lower_vote_event_link,upper_vote_event_id,upper_bill_id,upper_polarity,upper_vote_event_link,document_link
17,17,Prodej státních lesů,Privatization of state-owned forests,Měl by být zakázán prodej státních lesů?,Would you vote for abolition of state-owned forests privatization?,Toto opatření navrhovala novela zákona o lesích.,This was proposed in a new Forestry Bill.,60878,367,-1,http://www.psp.cz/sqw/hlasy.sqw?g=60878,,,,,http://www.psp.cz/sqw/historie.sqw?T=367
12,12,Registr přestupků,Registry of minor offences,Měl by být zřízen registr přestupků?,Would you vote for the registry of minor offences?,"Příslušný návrh zavádí registr přestupků, elektronický informační systém, kam se má zapisovat drobná kriminalita. Podle zastánců bude snazší odhalit opakované porušování zákona, podle odpůrců jde o přílišný zásah do soukromí občanů.","The corresponding bill introduces an electronic information system of minor offences. Proponents say that it will be easier to identify repeated offences, opponents say that it is too severe a limitation of people's privacy.",61086,368,1,http://www.psp.cz/sqw/hlasy.sqw?g=61086,15407,100/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15407,http://www.psp.cz/sqw/historie.sqw?T=368
4,4,Rychlost na dálnicích,Highway speed limit,Měla by být na některých úsecích dálnice zvýšena nejvyšší povolená rychlost? ,Should the speed limit be raised on certain highways?,"Příslušný návrh umožní zvýšit rychlostní limit ze 130 na 150 km/h na čtyřech vybraných úsecích dálnic a z 90 na 110 km/h na celkem 200 km silnic 1. třídy. Podle zastánců pomůže urychlit dopravu, podle odpůrců zvýší riziko dopravních nehod.","The corresponding bill allows for the increase of speed limits from 130 to 150 kph (75 to 93 mph) on four sections of highways and from 90 to 110 kph (56 to 68 mph) on 200 km (124 miles) of other roads. Proponents say it will speed up transportation, opponents say it will increase the risk of traffic accidents.",60828,374,1,http://www.psp.cz/sqw/hlasy.sqw?g=60828,15280,80/10,-1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15280,http://www.psp.cz/sqw/historie.sqw?T=374
5,5,2. důchodový pilíř,2nd pillar of the pension system,Měl by být zrušen 2. důchodový pilíř? ,Would you vote to abolish the 2nd pillar of the pension system?,"Příslušný návrh ruší tzv. 2. důchodový pilíř, v němž bylo možné odvést část důchodového pojištění soukromému penzijnímu fondu. Dle zastánců mohl 2. pilíř zajistit občany na stáří. Dle odpůrců nebylo zaručeno kladné zhodnocení vkladů a navíc docházelo k odvádění peněz z průběžného důchodového systému.",The corresponding bill abolishes the 2nd pillar of the pension system that allowed citizens to send a part of their pension tax to private pension companies. Proponents of the 2nd pillars say that it could have helped to secure people's pensions. Opponents say that the private companies did not guarantee returns on investments and that it diverted finances from the state-guaranteed 1st pillar.,60800,382,1,http://www.psp.cz/sqw/hlasy.sqw?g=60800,15337,80/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15337,http://www.psp.cz/sqw/historie.sqw?T=382
16,16,Novela zákona o vysokých školách,School Bill,Hlasovali byste pro novelu zákona o vysokých školách?,Would you vote for the new School Bill?,"Tento návrh zvyšuje sociální stipendium studentů a dává možnost odebrat titul nabytý např. trestným činem nebo plagiátorstvím. Zavádí také nový řídící úřad akreditace škol s vyššími pravomocemi. Akreditovány budou nově celé oblasti studia, konkrétní obory pak budou vypisovat samotné školy. Podle zastánců dává návrh větší volnost vysokým školám. Podle odpůrců povede ke snížení kvality vzdělání, hlavně na soukromých školách.","The bill increases social scholarships and allows graduates to be stripped of their academic title if it was acquired via corruption or plagiarism. It creates a new bureau responsible for accrediting universities. Accreditations will newly be given to broad educational areas while specific academic programs will be organized by individual universities. Proponents say that the bill will increase autonomy of universities, opponents say that it will decrease quality of education, particularly in private universities.",60923,464,-1,http://www.psp.cz/sqw/hlasy.sqw?g=60923,,,,,http://www.psp.cz/sqw/historie.sqw?T=464
6,6,Mise v Mali,Military mission in Mali,Měla by ČR vyslat jednotku 25 vojáků na zahraniční misi v Mali?,Would you vote for the Czech Army sending a team of 25 soldiers to Mali?,"Podle návrhu ministerstva obrany mají vojáci působit v mezinárodní misi, jejímž cílem je stabilizace bezpečnostní situace v Mali. V této africké zemi letos skončila občanská válka mezi oficiální vládou a povstalci ze severní části země. Do mise je zapojena řada zemí, např. Nizozemsko, Německo nebo Francie.","According to a proposition of the Ministry of Defence, the team will become a part of an international mission to secure this African country after a civil war. It ended in 2015 when the official government signed a ceasefire agreement with rebel forces from norther Mali. The mission includes the Netherlands, Germany, France and other countries.",61028,472,1,http://www.psp.cz/sqw/hlasy.sqw?g=61028,15237,67/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15237,http://www.psp.cz/sqw/historie.sqw?T=472
22,22,Újezd Brdy,Brdy Military Training Area,Vojenský újezd Brdy by měl být zrušen,Would you vote for abolishing the Military Training Area in Brdy?,"Příslušný návrh ruší vojenský újezd Brdy ve středních Čechách. Byl založen v roce 1926 a má rozlohu přes 260 čtverečních kilometrů. Podle zastánců dojde k finanční úspoře, podle odpůrců pomáhá omezení hospodářské činnosti v újezdu chránit životní prostředí.","The corresponding proposal abolishes the Military Training Area in Brdy, central Bohemia. It was established in 1926 and covers over 260 square kilometres (100 square miles). Proponents say it will save public money, opponents say that limitations on economic activity in the military area helps to protect the environment.",,,,,15127,15/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15127,http://www.psp.cz/sqw/historie.sqw?T=57
20,20,Nemocenská,Sick leave,Nemocenská by se měla platit od prvního dne nemoci,Would you vote for the sick leave to be paid from the first day of sickness?,"Příslušný návrh zavádí platbu nemocenské od prvního dne nemoci. Dosud se v prvních třech dnech nemoci nevyplácí. Podle zastánců pomůže zmírnit negativní sociální dopady nemoci, zejména u nízkopříjmových osob, podle odpůrců zvyšuje výdaje státu a podporuje účelový výběr nemocenské.","The corresponding proposal introduces the sick leave since the first day of sickness. Currently, the sick leave is not paid during the first three days. Proponents say it will help decrease negative social impacts of sickness, especially on poor people. Opponents say it will increase public spending and encourage people to misuse the sick leave.",,,,,15149,20/10,-1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15149,http://senat.cz/xqw/xervlet/pssenat/hlasovani?action=tisk&O=10&T=20
21,21,Depolitizace státních podniků,State-owned enterprises,Vrcholné orgány státních podniků by měly být obsazovány podle odborné kvalifikace,Would you vote for top positions in state-owned enterprizes to be held by experts?,"Podle příslušného návrhu by byli členové dozorčích a správních rad státních podniků (např. ČEZ, Lesy ČR, Český Aeroholding) vybíráni z více uchazečů na základě odborné kvalifikace. Výběrové komise by byly nově sestaveny losem z nepolitických pracovníků. Návrh dále omezuje maximální možnou výši odměn za tyto pozice.","According to the corresponding proposal, top managers in state-owned enterprises (e.g. ČEZ, Lesy ČR, Český Aeroholding) would be selected out of multiple candidates with relevant qualifications. Members of selection committees would be chosen by a lot from non-political experts. The proposal also limits a maximal financial reward for these top positions.",,,,,15252,47/10,-1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15252,http://senat.cz/xqw/xervlet/pssenat/hlasovani?action=tisk&O=10&T=47
23,23,Očkování ve školkách,Vaccination in kindergartens,"Do školky by měly být přijímány pouze děti, které se podrobí povinnému očkování",Would you vote for children to only be attend kindergartens if they are vaccinated?,"Podle dosavadní právní úpravy do školky nesmí docházet dítě, které nebylo podrobeno stanoveným očkováním (pokud není proti dané nemoci imunní nebo mu očkování škodí). Příslušný návrh tuto úpravu ruší a stanovuje místo ní pouze povinnost rodiče informovat školku o tom, jaké očkování dítě absolvovalo. Návrh tedy fakticky oslabuje povinnost očkovat.","According to current law, a child cannot attend kindergarten without certain mandatory vaccination (unless the child is immune or contraindicated for vaccination). The corresponding proposal abolishes this restriction and replaces it with an obligation of parents to inform the kindergarten about the child’s vaccination. The proposal therefore de facto weakens mandatory vaccination.",,,,,15307,87/10,-1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15307,http://senat.cz/xqw/xervlet/pssenat/hlasovani?action=tisk&O=10&T=87
1,1,Nedůvěra vládě,Vote of no confidence,Hlasovali byste pro vyslovení nedůvěry vládě Bohuslava Sobotky?,Would you vote for no confidence of the cabinet of Bohuslav Sobotka?,"Vláda Bohuslava Sobotky je složena ze zástupců ČSSD, ANO a KDU-ČSL. V opozici zůstává KSČM, TOP 09, ODS a Úsvit.","The cabinet of Bohuslav Sobotka consist of members of CSSD, ANO and KDU-CSL. The opposition consists of KSCM, TOP 09, ODS and the Dawn of Direct Democracy.",60961,,1,http://www.psp.cz/sqw/hlasy.sqw?g=60961,,,,,
2,2,Kvóty pro uprchlíky,Refugee quotas,Souhlasíte se zavedením kvót pro přijímání uprchlíků pro členské země EU?,Do you support mandatory quotas on accepting refugees within the EU?,"Sněmovna hlasovala o přijetí následujícího usnesení: ""Poslanecká sněmovna odmítá povinné kvóty pro přijímání uprchlíků v jednotlivých členských zemích Evropské unie."" Odpověď ANO v kalkulačce znamená souhlas s kvótami.","The corresponding proposal reads as follows: ""The Chamber of Deputies rejects mandatory quotas on accepting refugees in individual EU member states."" Answering YES in this application means agreement with quotas.",60481,,-1,http://www.psp.cz/sqw/hlasy.sqw?g=60481,,,,,
18,18,Ztráta křesel ve výborech,Members of parliament losing committee seats,"Měli by poslanci, kteří vystoupili z klubu Úsvit přímé demokracie, ztratit svá křesla ve sněmovních výborech?",Would you vote for members of parliament that left the Dawn of Direct Democracy party group losing their seats in committees?,"Radim Fiala, Tomio Okamura a Milan Šarapatka vystoupili z klubu Úsvitu po vnitrostranické roztržce v březnu 2015. Radim Fiala byl odvolán z rozpočtového výboru, Tomio Okamura z organizačního výboru a Milan Šarapatka ze zahraničního a hospodářského výboru.","Radim Fiala, Tomio Okamura and Milan Šarapatka left the Dawn of Direct Democracy party group after an intra-party conflict in March 2015. Radim Fiala lost a seat in the Budgetary Committee, Tomio Okamura lost a seat in the Organizational Committee and Milan Šarapatka lost a seat in the Foreign Affairs Committee and in the Economy Committee.",60856,,1,http://www.psp.cz/sqw/hlasy.sqw?g=60856,,,,,
