id	name en	question en	description en	order	name cs	question cs	description cs
11	EU Enlargement	The European Union should not accept any new member states.	Nowadays the official candidates for membership are Montenegro, Iceland, Macedonia, Serbia and Turkey.	29	Zastavení rozšiřování EU	EU by měla zastavit přijímání dalších zemí.	V současné době jsou oficiálními kandidáty na členství Černá Hora, Island, Makedonie, Srbsko a Turecko. 
12	Financial Transaction Tax	The EU should introduce a tax on financial transactions.	According to supporters the Financial Transaction Tax (about 0.01%-0.1%) should prevent financial speculation. Opponents argue that this measure would have to be established worldwide otherwise it could lead to large transfer of companies beyond the EU.	13	Daň z finančních transakcí	EU by měla zavést daň z finančních transakcí ("tzv. Tobinovu daň")	Podle zastánců by daň z finančních transakcí (tzv. "Tobinova daň", zhruba 0.01%-0.1%) měla zabraňovat finančním spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 
13	European Army	EU member states should create a European army.	Nowadays the EU don’t dispose its own army, except for battle groups. According to supporters the existence of common army would increase the position of the EU within the international scene and would contribute to conflict resolution. Opponents argue that the defense should be provided at national level.	18	Evropská armáda	EU by měla mít vlastní armádu.	V současné době EU nemá, krom výjimek jako bitevní skupiny, vlastní armádu. Podle zastánců by existence společné armády zvýšilo postavení EU na mezinárodní scéně a přispělo k řešení konfliktů. Podle kritiků by obrana měla zůstat pouze v rukou členských států.
14	Dismissal of Commissioners	The European Parliament should be able to sack individual commissioners.	The European commissars are nominated by governments of member states. The European Commission (“European government”) as a whole is approved by the the European Parliament. Only way how to revoke Commission as a whole is announcing distrust by the European Parliament. One commissar is not revocable.		Odvolatelnost komisařů	Evropský parlament by měl mít možnost odvolat jednotlivé evropské komisaře	Komisaři jsou do své funkce navrhováni členskými státy. Komise ("evropská vláda") jako celek je schválena Evropským parlamentem. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců. Odvolat jednotlivého komisaře parlament nemůže.
15	EU Foreign Policy	More foreign policy areas should be agreed at an EU level.	The EU is able to provide foreign and security policy at EU’s level, but this option is used finitely. The objectives of EU’s foreign policy are mandatory for member states, but European law doesn’t dispose any sanctions for violation.	20	Zahraniční politika EU	Více oblastí zahraniční politiky by mělo být rozhodováno na úrovni EU.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.
16	EU Development Aid	The EU should increase the amount of money it spends on foreign aid.	The EU is the biggest provider of developing aim. According to supporters the developing aid helps in the target countries and prevent population explosion (baby boom) and decline emigration to wealthier states such as EU states. According to opponents the biggest part of the aid is stolen by the governments and criminal groups which means that the aim is not provide them who need it.	14	Rozvojová pomoc EU	EU by měla zvýšit prostředky na zahraniční pomoc.	EU je největším světovým poskytovatelem rozvojové pomoci. Podle zastánců rozvojová pomoc pomáhá v cílových zemích a zabraňuje tak mj. populační explozi a snižuje emigraci do bohatších zemí, např. zemí EU. Podle odpůrců podstatná část je rozkradena vládními vrstvami a zločineckými strukturami a nedostane se tak k těm, kterým je určena.
17	Eurobonds	There should be Eurobonds, whereby all Eurozone countries can be guarantors when one of them takes out a loan.	With the help of the Eurobonds the investors would lend money to the eurozone as a whole. The Eurobond should help to solve the debt crisis via reduction of costs of loan for countries such as Greece or Portugal, which could help them as well as the eurozone. Opponents point out the moral hazard, when the member states would be burdened by lower risk and could behave irresponsibly.		Společné evropské dluhopisy	Měly by být zavedeny společné evropské dluhopisy pro země eurozóny.	Pomocí společných evropských dluhopisů (eurobondů) by investoři půjčovali finance eurozóně jako celku. Eurobondy mají pomoci řešit dluhovou krizi snížením nákladů úvěrů pro země jako Řecko nebo Portugalsko, což by pomohlo jim i celé eurozóně. Kritici upozorňují na morální hazard, jednotlivé země by nesly nižší riziko a mohly se chovat nezodpovědně.
18	Same-sex Marriages	Member states must recognise same-sex marriages conducted in other EU countries.	The European Court for Human Rights decided in 2010, that the same-sex marriage is not human right therefore member states are not forced to allow or recognize it. Supporters ask for the same right for homosexual couple throughout the EU. Opponents deny to recognize the same-sex marriage because of e.g. religion.	21	Sňatky osob stejného pohlaví 	Členské státy musí uznat sňatky osob stejného pohlaví, které jsou uzavřeny v jiné členské zemi EU.	Evropský soud pro lidská práva v roce 2010 rozhodl, že registrované partnerství není lidským právem a smluvní státy nemají povinnost jej umožňovat uzavřít a uznávat. Zastánci požadují stejná práva pro homosexuální dvojice v celé EU. Odpůrci odmítají uznávat registrované partnerství např. z náboženských důvodů.
19	Asylum Laws	The rules for accommodating asylum-seekers should be the same in every EU country.	According to supporters the unification of conditions for accommodating asylum-seekers would prevent from “overflowing” of asylum-seekers from one country of the EU to another. Opponents argue that there are different situations in each country and therefore the regulation of these terms should be at national level.	22	Azylové zákony	Podmínky pro udělení azylu by měly být stejné ve všech členských státech EU	Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo "přelévání" lidí, hledajících azyl, z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měla zůstat na národní úrovni.
20	European Taxes	The EU should be able to raise European taxes to replace member states contributions.	Nowadays most of the incomes of the EU come from contributions of member states based on rate of the GDP. Establishing of common european tax would lead to independence of EU’s budget on member states.		Evropské daně	EU by měla vybírat evropské daně, které by nahradily existující příspěvky členských států.	V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedením evropské daně by se zvýšila nezávislost rozpočtu EU na členských zemích.
21	Withdraw from the EU	The Czech Republic should withdraw from the EU	The EU consists of 28 countries (including surrounding countries) Other European states outside of the EU are Ukraine, Belarus, Switzerland or Norway.	24	Vystoupení z EU	Česká republika by měla vystoupit z EU.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko.
22	Federalization of EU	The EU should become federation	Federation is characterized by distribution of power among the federal institutions and national institutions. This distribution is bound by federal constitution. Federal states are e.g. USA, Russia, Brasilia or India. On the other hand the arab or latin-american states are autonomic/unitary despite of e.g. common language.	30	Federalizace EU	EU by se měla stát federací.	Státní moc je ve federaci rozložena mezi federální orgány a orgány členských zemí, což je zajištěno ústavou. Federací jsou např. USA, Rusko, Brazílie nebo Indie. Naopak ale arabské nebo latinsko-americké země jsou samostatné, i přesto že se tam mluví jedním jazykem. 
23	Structure of the European Commision according to elections	Structure of the European Commision should correspond to results of elections	The European commissars of the European Commission (“European government”) are nominated by governments of member states. Nowadays European Commission doesn’t correspond to result of euro-elections. For example there is just one commissar from the biggest Germany as well as one commissar from the smallest Malta.	19	Komise dle voleb	Složení Evropské komise by mělo odpovídat výsledkům eurovoleb.	Do Evropské komise ("evropské vlády") její komisaře nyní nominují vlády členských zemí EU. Komise tedy neodpovídá výsledkům eurovoleb, např. je v ní jeden nutně jeden komisař z každé země (z největšího Německa i z nejmenší Malty). 
24	European referendum	There should be a possibility to announce a referendum based on petition	Citizen of the Czech Republic can announce a referendum at local or regional level, but not at national or european level. According to supporters of all-european referendum it would increase opportunity of citizens to make decisions, but according to opponents it could lead to populistic actions.	10	Evropské referendum	Měla by být možnost vypsání celoevropského referenda na základě petice. 	Český občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.
25	Abrogation of daylight-saving time	Daylight-saving time should be abrogated	Daylight-saving time is used because most of activities is managed by time and they don’t change throughout the year. However the light time is changing. Daylight-saving time was first established in Austria-Hungary in 1916 and than within all Europe to prevent energy wasting, but this effect is minimal nowadays.		Zrušení letního času 	Letní čas by měl být zrušen.	Letní čas se používá, neboť mnoho aktivit ve společnosti se řídí hodinami a nemění se v průběhu roku (školy, zaměstnání), ač čas denního světla se mění. Původně byl zaveden s cílem šetřit energii, ačkoli nyní je již tento efekt minimální. Letní čas je zaváděn po celé Evropě, poprvé na světě v Rakousku-Uhersku 1916.
26	Euro-warranty	Goods purchased in the EU should be reclaimable to the same company in any of EU member states	In general it’s not possible to reclaim goods (of same company) in other EU countries. However within the Czech republic it is possible according to law.	23	Euro-záruka na zboží	Zboží zakoupené v EU by měĺo být možné reklamovat u stejné firmy v jakékoliv zemi EU.	Reklamovat zboží obecně nelze u pobočky stejné firmy v jiné zemi EU. Např. v rámci ČR to ale ze zákona možné je. 
27	Euro-trade certificate	Trade certificate should be sufficient to practice handicraft or bussines throughout the EU	Nowadays it’s not possible to practice business in Slovakia in the long term with Czech Trade Certificate. However the same one is valid throughout the Czech Republic.	9	Euro-živnost	Živnostenský list by měl stačit k výkonu daného řemesla či podnikání po celé EU. 	V současné době nelze např. na základě českého živnostenského listu dlouhodobě podnikat na Slovensku. Ale stejný živnostenský list platí po celé ČR. 
28	Erasmus programme for high schools	Erasmus programme should be available for student of high schools	Erasmus Program supports university students to study abroad in other EU countries. Budget for this program is about 2 billion euros per year.	25	Erasmus na středních školách	Erasmus by měl být rozšířen i na střední školy.	Program Erasmus podporuje studenty vysokých škol, aby část studia proběhla v jiné zemi EU. Náklady Erasmu z rozpočtu EU jsou nyní zhruba 2 miliardy eur ročně.
29	Common European VAT	Value-added tax should be unified throughout the EU	The rate Value-Added Tax is different throughout the EU. Amount of VAT is set by each member state and e.g. the range of basic VAT is 15 - 27 %, for food it’s 0 - 27 % throughout the EU. These differences are advantageous for some businessmen but for the others are disadvantageous.		Stejné sazby DPH 	Sazby DPH by měly být sjednocené v celé EU.	Výše daně z přidané hodnoty je v pravomoci členských zemí a je různá v celé EU, základní sazba od 15 do 27 %, např. u potravin potom mezi 0 a 27 %. Tyto rozdíly některé obchodníky zvýhodňují a jiné znevýhodňují.
30	Car registration	Car registration should be accepted throughout the EU	Car purchased in different EU country needs special “transit number”, short term car insurance and after transit needed to reregister it. It’s impossible to buy old car in different country at all.		Registrace auta	Registrace auta by měla platit po celé EU. 	Nyní je nutné pro auto koupené v jiné zemi EU zařídit speciální "převozní číslo", krátkodobé povinné ručení a po dovozu ho přeregistrovat. Starší auta nelze v jiné zemi EU kupovat vůbec. 
31	EU-USA Agreement	"Transatlantic Trade and Investment Partnership" (TTIP) agreement between the EU and the USA should be confirm	Supporters of this agreement argue it increase economy of the EU. However critics argue that neither the EU nor member states will not able to e.g. to regulate extraction of shale gas, cultivation of genetically-modified crops or financial sphere.	12	Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být schválena.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.
32	European Motorway Tax Sticker	There should be established special Motorway Tax Sticker (or similar system), which would be valid throughout the EU	Nowadays there is a system of Motorway Tax Sticker only within 7 states and system of toll within 10 states of the EU. But, on the other hand, the “green card” (i.e. car insurance) is valid throughout the EU.	6	Dálniční známka 	Měla by existovat speciální dálniční známka (nebo podobný systém) platná v celé EU 	V současné době v 7 zemích EU existují dálniční známky a v dalších 10 se platí mýtné. Naopak povinné ručení - "zelená karta" - platí po celé EU. 
33	Lightbulbs	Sale of lightbulbs with power over 60W should be allowed again	Sale of lightbulbs with power over 60W is forbidden throughout the EU. This prohibition was enacted to prevent energy wasting. Similar prohibitions are established e.g. in Switzerland, Russia, Australia, Canada or Brasilia. Opponents argue that alternative products for this type of lightbulbs are expensive and not useful for some usage.	15	Žárovky	Prodej žárovek nad 60W by měl být opět povolen.	Nařízení EU zakazuje prodej žárovek nad 60W. Bylo zavedeno z důvodu omezení plýtvání energií. Podobné platí např. i ve Švýcarsku, Rusku, Austrálii, Kanadě nebo Brazílii. Oponenti argumentují, že alternativy k žárovce jsou dražší a nehodí se na všechna použití. 
34	Police of EU	Police of the EU should be enlarged	Nowadays in the EU is acting only “Europol” with less than 1000 employees. According to supporters the enlargement of this institution would lead to higher safety, but according to opponents this duty should be provide at domestic level.	16	Policie EU	Měla by se zvětšit policie EU. 	V současné době na úrovni EU působí jen Europol s méně než 1000 zaměstnanců. Podle zastánců by zvětšení této instituce zvýšilo bezpečnost, podle odpůrců by policie měla zůstat v pravomoci členských států.
35	Lower subsidy for agriculture	There should be less financial assistance to agriculture	More than 1/3 of EU’s budget is use as a subsidy for agriculture and most of it goes to farmers directly. Supporters argue that supporting of agriculture leads to self-sufficiency of the EU against importing goods from outside of the EU and increase standards of living in the countryside. Opponents argue that the subsidy is very expensive and increase price of the goods.	5	Nižší dotace pro zemědělství	Dotování zemědělců z peněz EU by se mělo snížit.	Více jak 1/3 rozpočtu EU jde na podporu zemědělství, z největší části na přímé dotace zemědělcům. Podle zastánců podpora zemědělství zvyšuje soběstačnost EU oproti dovozu potravin ze zemí mimo EU a zvyšuje životní úroveň na venkově. Podle odpůrců je příliš nákladná a zvyšuje ceny pro zákazníky.
36	Passanger's data for USA	Airlines should carry on with sharing data with the USA about passengers traveling to the USA	Airlines are enforced to send information to US Department of Homeland Security about passengers traveling to USA. These information are saving for 10 years. Supporters advocate this measures such as fight against terrorism. Critics point out weak protection of these data.		Data o cestujících do USA	Letecké společnosti by měly dále posílat data o cestujících do USA.	Letecké společnosti jsou nyní nuceny posílat veškeré údaje o cestujících do USA tamnímu Ministerstvu vnitřní bezpečnosti, které je dle dohody s EU legálně ukládá na 10 let. Zastánci obhajují opatření bojem proti terorismu. Oponenti ukazují na slabou ochranu těchto dat proti zneužití.
37	Duration of copyright	Duration of copyright should be shorter throughout the EU	Books and films are protected by copyright of 70 years after the author’s death and music work for 50 years. Supporters argue that without this kind of protection some art work would have never create. Opponents argue than this protection prevents and limits creation of derived works and that this protection was established to protect authors against publishers, not against noncommercial usage.	17	Délka copyrightu	Doba ochrany autorských děl by se měla v EU zkrátit.	Autorská díla jako knihy nebo filmy jsou v EU chráněna po dobu 70 let od úmrtí autora, hudba po dobu 50 let. Obhájci argumentují tím, že bez takové ochrany by některá díla ani nevznikla. Kritici upozorňují, že takto dlouhá ochrana omezuje tvorbu odvozených děl a že tato ochrana původně fungovala jen jako ochrana autora před vydavatelem, nikoliv pro nekomerční využití. 
38	Free movement limitation 	EU countries should have capability to limit employment of civilians of other member states.	Free movement of employees (possibility to be employed throughout the EU) is one of the basic freedoms within the EU. Opponent criticize e.g. abusing of social system of target country. Supporters point out that the countries, where foreign citizens work, profit economically.	26	Omezení volného pohybu pracovníků	Země EU by měly mít možnost omezit zaměstnávání občanů z jiných zemí EU. 	Volný pohyb zaměstnanců (možnost být zaměstnán v jakékoliv zemi EU) je jednou ze základních svobod v EU. Kritici argumentují např. zneužíváním sociálního systému cílové země. Obhájci ukazují, že země, kde lidé z jiných zemí pracují, na tom celkově ekonomicky vydělává.
39	The Fiscal Pact	The Czech Reppublic should accept The Fiscal Pact	The Fiscal Pact was signed by all member states of the EU except the Czech Republic and United Kingdom. This Pact, among other thing, determines limitation of national budget deficit of member states of the EU (0.5-1 % VAT). Violation of this pact can lead to financial sanction, but only against states using the euro as a currency. Supporters point out that it prevent from excessive deficit of member states. Opponents, on the other hand, point out the subordination of national budget to the European Commission.		Fiskální pakt	ČR by měla přistoupit k tzv. Fiskálnímu paktu	Tzv. Fiskální pakt podepsaly všechny země EU mimo ČR a Velkou Británii. Pakt mj. určuje omezení na schodek státních rozpočtů zemí EU (0.5 - 1 % z HDP). Nedodržení může vést k finančním sankcím, ale jen pro země platící eurem. Oponenti ukazují na podřízení státního rozpočtu Evropské komisi. Obhájci říkají, že zamezí vládám nadměrně zadlužovat zemi. 
40	Czech Domestic rum and spread butter	The EU should stop determine detailed norms for eatable	Within the EU there are norms determining use of term “butter” in case, where the product has at least 80 % of milk fat. According to this norm the term “spread butter” must be withdrawn. Similar is the case of term “rum”, which must contain alcohol from sugar cane, but Czech domestic rum do not.	2	Tuzemský rum a pomazánkové máslo 	EU by měla přestat určovat podrobné normy pro potraviny.	V EU existují normy, které mj. vyhrazují prodejní označení 'máslo' pro produkty obsahující alespoň 80 % mléčného tuku, odtud povinnost stáhnout název 'pomazánkové máslo', které obsahuje tuku výrazně méně. Podobně 'rum' musí obsahovat alkohol z cukrové třtiny, čemuž tak není v případě 'tuzemského rumu'. 
41	The Euro	The Czech Republic should adopt the euro towards 2020	The Euro is a currency of 18 EU states and some other outside of the EU. Within neighbouring countries it’s used as a currency in Germany, Austria and Slovakia, but not in Poland. However adopting the euro as a currency is one of the states’ comitment to the EU. According to supporters is its using economicaly advantageous but according to oponents it is not.	1	Euro	V České republice by se mělo zavést Euro do roku 2020.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá v Německu, Rakousku, na Slovensku, ale v Polsku ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastánců by přijetí Eura bylo ekonomicky výhodné, podle odpůrců tomu tak není.
42	Slovak Crown	The Slovak Republic should return to the Slovak Crowns currency.	The Euro is a currency of 18 EU states and some other outside of the EU. Within neighbouring countries it’s used as a currency only in Austria. In the Czech Republic, Poland, Hungary or in Ukraine it’s not used. However adopting the euro as a currency is one of the states’ commitment to the EU. According to supporters is its using economically advantageous but according to opponents it is not.		Slovenská koruna	Slovensko by se mělo vrátit ke Slovenské koruně.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá jen v Rakousku, v České republice, v Polsku, v Maďarsku a na Ukrajině ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastánců je používání Eura ekonomicky výhodné, podle odpůrců tomu tak není.
43	Withdraw from the EU	The Slovak Republic should withdraw from the the EU	The EU consist 28 countries (including surrouding countries). Other European states outside of the EU are Ukraine, Belarus, Switzerland or Norway		Vystoupení z EU	Slovensko by mělo vystoupit z EU.	Evropskou unii tvoří 28 zemí, mj. všechny sousední země. Mimo EU je v Evropě např. Ukrajina, Bělorusko, Švýcarsko nebo Norsko.
