id otázky (už neměnit!)	Znění otázky pro kandidáta	Znění otázky pro uživatele	Doprovodný text	Pořadí (dlouhá)	Pořadí (krátká)	Název otázky	2. kolo - liší se	2.kolo pořadí
11	Odmítl(a) bych jmenovat vládu, která by získala důvěru díky poslancům KSČM.	Jako hlava státu bych odmítl(a) jmenovat vládu, pokud by měla následně získat důvěru díky poslancům KSČM.		11	8	Ne vládě s podporou KSČM		
12	Tzv. druhý pilíř důchodové reformy by měl být zrušen.	Tzv. druhý pilíř důchodové reformy by měl být zrušen.	Nedávno byla zavedena důchodová reforma, která počítá se zavedením tzv. druhého pilíře. Podle zastánců umožní lepší zabezpečení životní úrovně ve stáří, podle odpůrců není zajištěna návratnost finančních prostředků. Názor hlavy státu je důležitý, protože může vetovat související zákony.	12		Důchodová reforma	1	8
13	ČR by měla vystoupit z EU.	ČR by měla vystoupit z EU.	ČR je od roku 2004 členem EU. Zastánci argumentují, že členství dává ČR možnost ovlivňovat budoucnost EU a je ekonomicky výhodné, odpůrci upozorňují na ztrátu suverenity ČR. Členem EU jsou všechny sousední státy ČR, mimo EU naopak stojí např. Švýcarsko či Norsko.	13	9	Vystoupení z EU		
14	Vadilo by mi, kdyby byl hlavou státu člověk, který byl před rokem 1989 členem KSČ.	Vadilo by mi, kdyby byl hlavou státu člověk, který byl před rokem 1989 členem KSČ.		14	10	Ne členství prezidenta v KSČ	1	10
15	Souhlasím se současným zněním zákona o církevních restitucích.	Souhlasím se současným zněním zákona o církevních restitucích.	Nedávno bych schválen zákon o církevních restitucích. Podle zastánců zákon napravuje křivdy na církvích a umožní rozvoj obcí obklopených blokovanými pozemky, podle odpůrců je zákon netransparentní a hrozí zneužití vydaného majetku. Názor hlavy státu je důležitý, protože může vetovat související zákony.	15		Církevní restituce	1	9
16	ČR by měla usilovat o zavedení společné evropské měny (euro).	ČR by měla usilovat o zavedení společné evropské měny (euro).		16		Zavedení eura	1	11
17	Jako hlava státu budu zveřejňovat všechny mezinárodní smlouvy, které podepíši.	Hlava státu by měla zveřejňovat všechny mezinárodní smlouvy, které podepíše.	Prezident v současné době nemusí zveřejňovat některé mezinárodní smlouvy. Podle zastánců zveřejňování mají občané právo znát právní závazky svého státu. Podle odpůrců mohou některé smlouvy obsahovat citlivé údaje.	17	11	Zveřejňování mezinárodních smluv	1	12
18	Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.	Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.	Na Slovensku platí zákon o prokazování nabytí majetku. Pokud majitel nebude moci prokázat legální nabytí majetku, může o něj přijít. Podle zastánců je to důležité opatření v boji proti systémové korupci, podle oponentů zákon zavádí situaci, kdy obviněný musí dokazovat svoji nevinu. Názor hlavy státu je důležitý, protože může vetovat související zákony.	18		Zákon o prokázání nabytí majetku	1	13
19	ČR by měla usilovat o udržobvání obchodních vztahů i se zeměmi, které porušují lidská práva.	ČR by měla usilovat o udržování obchodních vztahů i se zeměmi, které porušují lidská práva	ČR udržuje ochodní vztahy i se zeměmi, které porušují lidská práva. Podle zastánců zahraniční obchod podporuje hospodářský růst, podle odpůrců je taková spolupráce nemorální.	19	12	Obchodní styky s nedemokratickými zeměmi		
20	Jako hlava státu bych pozval(a) dalajlámu na oficiální státní návštěvu ČR.	Jako hlava státu bych pozval(a) dalajlámu na oficiální státní návštěvu ČR.	Podle zastánců státní návštěny dalajlámy jde o významnou mezinárodní osobnost, která se zasadila o ochranu lidských práv. Podle odpůrců by jeho státní návštěva poškodila vztahy ČR s Čínou.	20	13	Oficiální návštěva dalajlámy		
21	ČEZ by měl pokračovat v plánu na výstavbu dalších dvou bloků v Temelíně.	ČEZ by měl pokračovat v plánu na výstavbu dalších dvou bloků v Temelíně.	ČEZ chce postavit další dva bloky jaderné elektrárny Temelín. Jejich cena se odhaduje na „stovky miliard“ Kč. Např. Německo má plán útlumu jaderných elektráren (ač se diskutuje), Rakousko od jaderných elektráren odstoupilo, naopak na Slovensku se jaderné elektrárny rozšiřují.	21	14	Dostavba Temelína		
22	Měl by být zrušen poplatek za prázdná média.	Měl by být zrušen poplatek za prázdná média.	V ČR je nutno z každého prázdného nosiče informací, jako je DVD či počítačový disk, i z každého rozmnožovacího zařízení jako DVD-RW či kopírka zaplatit poplatek. Ten jde organizacím (např. OSA nebo DILIA), které zastupují část autorů.Názor hlavy státu je důležitý, protože může vetovat související zákony.	22		Poplatek za prázdná média	0.5	26
23	Hlava státu by měla po volbách do Poslanecké sněmovny jmenovat předsedou vlády nebo pověřit jednáním o sestavení vlády předsedu strany, která získala nejvíce hlasů.	Hlava státu by měla po volbách do Poslanecké sněmovny jmenovat předsedou vlády nebo pověřit jednáním o sestavení vlády předsedu strany, která získala nejvíce hlasů.	Prezident jmenuje po volbách do Poslanecké sněmovny předsedou vlády osobu podle svého uvážení, podle některých by ale měl mít přednostní právo předseda politické strany, která získala nejvíce hlasů.	23	15	Sestavení vlády nejsilnější stranou		
24	Považoval(a) bych za problematické, kdyby další dva bloky jaderné elektrárny Temelín mohla dostavět ruská firma.	Považoval(a) bych za problematické, kdyby další dva bloky jaderné elektrárny Temelín mohla dostavět ruská firma.	V současné době je vybírána firma, která by mohla dostavět další dva bloky jaderné elektrárny Temelín. Někteří považují účast ruské firmy za bezpečnostní riziko pro ČR.	24	16	Ne dostavbě Temelína ruskou firmou	1	22
25	Měl by být zachován Ústav pro studium totalitních režimů.	Měl by být zachován Ústav pro studium totalitních režimů.	"V ČR byl založen tzv. Ústav pro studium totalitních režimů zabývající se ""obdobím fašistické a komunistické totalitní moci"". Podle zastánců pomůže zabránit zkreslování historie, podle odpůrců není ústav politicky nestranný. Názor hlavy státu je důležitý, protože může vetovat související zákony."	25		Zachování Ústavu pro studium totalitních režimů	1	21
26	Hlava státu by měla jmenovat a přijmout demisi vlády, předsedy vlády nebo člena vlády bez ohledu na svůj osobní postoj a bez zbytečného odkladu.	Hlava státu by měla jmenovat a přijmout demisi vlády, předsedy vlády nebo člena vlády bez ohledu na svůj osobní postoj a bez zbytečného odkladu.	Prezident jmenuje, odvolává a přijímá demisi vlády, předsedy vlády a člena vlády. Není jasné, zda to musí učinit bez ohledu na svůj osobní názor, nebo zda může odmítnout. Ústava rovněž nestanovuje žádné časové lhůty.	26	17	Jmenování a demise bez odkladu		
27	Povolovat jakékoliv herní automaty by měly výhradně obce.	Povolovat jakékoliv herní automaty by měly výhradně obce.	V současné době se debatuje, zda některé formy hazardu (např. „videoterminály“) má povolovat Ministerstvo financí či obce. Podle zastánců existuje možnost korupce na lokální úrovni, podle odpůrců mají obce omezené možnosti ovlivnit umístění herních automatů na svém území. Názor hlavy státu je důležitý, protože může vetovat související zákony.	27		Regulace hazardu pouze obcemi	1	19
28	Hlava státu by měla jmenovat soudce a další osoby do jejich funkce bez ohledu na jejich věk.	Hlava státu by měla jmenovat soudce a další osoby do jejich funkce bez ohledu na jejich věk.	Prezident jmenuje soudce a další osoby do jejich úřadu. Není jasné, zda to musí udělat bez ohledu na svůj osobní názor, nebo zda může z různých důvodů odmítnout, například kvůli jejich věku.	28	18	Jmenování soudců bez ohledu na věk	1	20
29	Smlouva ACTA by měla v ČR platit.	Smlouva ACTA by měla v ČR platit.	Nedávno byla podepsána protipirátská mezinárodní dohoda ACTA. Podle příznivců pomůže omezit nelegální kopírování, podle odpůrců hrozí zneužití pravomocí k cenzuře internetu.	29		ACTA by měla platit		
30	Hlava státu by měla podepsat mezinárodní smlouvu bez ohledu na svůj osobní postoj a bez zbytečného odkladu, jestliže to odsouhlasí vláda.	Hlava státu by měla podepsat mezinárodní smlouvu bez ohledu na svůj osobní postoj a bez zbytečného odkladu, jestliže to odsouhlasí vláda.	Podle Ústavy prezident sjednává a ratifikuje mezinárodní smlouvy. V praxi je ale za zahraniční politiku zodpovědná zejména vláda.	30	19	Podpis mezinárodních smluv bez odkladu	1	25
31	Možnost vlastnit společnost pomocí anonymních akcií by měla být zrušena.	Možnost vlastnit společnost pomocí anonymních akcií by měla být zrušena.	ČR je jednou z mála zemí světa, kde jsou povoleny anonymní akcie, u nichž nejde dohledat fyzický vlastník. Názor hlavy státu je důležitý, protože může vetovat související zákony.	31		Ne vlastnictví anonymních akcií	0.5	30
32	Na oficiálních a soukromých návštěvách v zahraničí budu prezentovat postoj vlády, i kdyby se neshodoval s mým osobním postojem. 	Hlava státu by měla na oficiálních a soukromých návštěvách v zahraničí prezentovat postoj vlády, i kdyby se neshodoval s jejím osobním postojem.		32	20	Zastávání názoru vlády na zahraničních návštěvách	0.5	
33	Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.	Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.	V ČR jsou nyní platy a odměny politiků a státních úředníků neveřejné. Je možné o ně požádat na základě zákona o svobodném přístupu k informacím, úřady ale často odmítají údaje vydat. Např. ve Velké Británii jsou platy vysokých státních úředníků zveřejňovány státem. Názor hlavy státu je důležitý, protože může vetovat související zákony.	33		Zveřejňování platů politiků a úředníků		
34	Jako hlava státu bych podepsal(a) Lisabonskou smlouvu.	Jako hlava státu bych podepsal(a) Lisabonskou smlouvu.	Lisabonská smlouva vstoupila v platnost v roce 2009. Podle zastánců posiluje hlubší integrace EU ekomoniku členských zemí a činí z nich významnější aktéry mezinárodní politiky. Podle odpůrců hlubší integrace země ztrácejí možnost rozhodovat o vnitřních záležitostech a členství je pro ně ekonomicky nevýhodné.	34	21	Podpis Lisabonské smlouvy		
35	Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.	Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.	V ČR se nyní uvažuje o zřízení specializovaného státního zastupitelství pro boj proti korupci. Podle zastánců vytvoření jednoho nezávislého orgánu pomůže v boji proti systémové korupci, podle odpůrců může být taková instituce pod velkým politickým a korupčním tlakem. Názor hlavy státu je důležitý, protože může vetovat související zákony.	35		Protikorupční státní zastupitelství	0.5	
36	Imunita hlavy státu by měla být oproti současnému stavu omezena.	Imunita hlavy státu by měla být oproti současnému stavu omezena.	Prezidenta nelze zadržet ani trestně stíhat. Podle zastánců jde o pojistku proti politickému pronásledování hlavy státu, podle odpůrců je takto široká imunita potenciálně zneužitelná.	3	3	Snížení imunity prezidenta	1	3
37	Měla by být zavedena možnost eutanazie.	Měla by být zavedena možnost eutanazie.	Eutanazie není povolená v ČR ani v žádné z okolních zemí. Podle zastánců je ukončení života základním právem člověka, podle odpůrců je nemorální a hrozí jeho zneužití. Eutanazie je legální např. v Nizozemí nebo v Belgii. Názor hlavy státu je důležitý, protože může vetovat související zákony.	37		Zavedení eutanazie		
38	Hlava státu by měla mít možnost udělovat milost.	Hlava státu by měla mít možnost udělovat milost.	Prezident může odpouštět a zmírňovat tresty a nařídit, aby se nezahajovalo nebo nepokračovalo v trestním stíhání. Podle zastánců jde o pojistku proti selhání soudů, podle odpůrců může hrozit zneužití této pravomoci.	2	2	Zachování prezidentských milostí	1	1
39	Měla by se podporovat možnost výuky romštiny jako volitelného předmětu.	Měla by se podporovat možnost výuky romštiny jako volitelného předmětu.	V ČR platí zákon, že národnostní menšiny mají právo na výuku ve svém jazyce. Zatímco v ČR fungují školy např. v polštině, romština není v ČR ani volitelným předmětem (mj. nejsou vyškolení učitelé). Např. na Slovensku místy je. Názor hlavy státu je důležitý, protože může vetovat související zákony.	39		Výuka romštiny	0.5	
40	Hlava státu by měla být volena přímo.	Hlava státu by měla být volena přímo.	V současné době je prezident volen přímo, stejně jako na Slovensku nebo v Polsku. V zemích, jako je Německo nebo Maďarsko je hlava státu volena Parlamentem nebo podobným orgánem.	40	24	Přímá volba prezidenta		
41	Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.	Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.	Interrupce na žádost matky je v ČR možná stejně jako např. na Slovensku, v Rakousku či na Ukrajině. V Polsku je naopak zakázána až na určité výjimečné případy. Podle zastánců je právo na potrat základním právem ženy, podle odpůrců je nemorální. Názor hlavy státu je důležitý, protože může vetovat související zákony.	41		Interrupce jen v nutných případech		
42	Hlava státu ČR by měla mít oproti současnému stavu širší pravomoci.	Hlava státu ČR by měla mít oproti současnému stavu širší pravomoci.	V zemích jako je Francie má prezident silnější pravomoci než u nás, například může jmenovat a odvolat vládu nebo snadno rozpustit Parlament. Naopak například v Německu je jeho postavení ještě slabší než v ČR.	42	25	Širší pravomoci prezidenta	1	27
43	Homosexuální páry by měly mít možnost adoptovat děti.	Homosexuální páry by měly mít možnost adoptovat děti.	V současné době mohou homosexuální páry uzavírat tzv. registrované partnerství, nemohou ovšem adoptovat děti. Adopce homosexuálními páry je legální např. v Nizozemí, ve Švédsku či v Norsku. Názor hlavy státu je důležitý, protože může vetovat související zákony.	43		Adopce homosexuálními páry	0.5	
44	V ČR by měla být zakázána stavba mešit.	V ČR by měla být zakázána stavba mešit.	V ČR nyní stojí několik mešit a jiných muslimských modliteben. Podle zastánců jejich výstavby jde o vyjádření svobody vyznání, podle odpůrců existence mešit v ČR není v souladu s křesťanskou tradicí země. Názor hlavy státu je důležitý, protože může vetovat související zákony.	44		Zákaz stavby mešit	1	16
45	Měla by být zavedena možnost volit po internetu.	Měla by být zavedena možnost volit po internetu.	Volit po internetu je možné v Estonsku. Podle zastánců to usnadňuje účast ve volbách, podle odpůrců počítačové systémy nejsou zcela bezpečné a existuje riziko volebního podvodu. Názor hlavy státu je důležitý, protože může vetovat související zákony.	45		Volby po Internetu	0.5	
46	Sazba DPH by se měla snížit.	Sazba DPH by se měla snížit.	Sazba DPH se nedávno zvýšila jako reakce na nižší výběr daní kvůli krizi. Podle zastánců povede zvýšení DPH k vyšším příjmům státního rozpočtu a ke snížení veřejného dluhu, podle odpůrců povede ke zdražení zboží a služeb. Názor hlavy státu je důležitý, protože může vetovat související zákony.			Snížení DPH	1	6
47	Měl by být schválen zákon o vyrovnaném státním rozpočtu.	Měl by být schválen zákon o vyrovnaném státním rozpočtu.	V současné době se diskutuje o zavedení zákona o vyrovnaném státním rozpočtu, který by určoval určitou maximální povolenou míru schodku rozpočtu. Podle zastánců jde o opatření sloužící k omezení zadlužování státu, podle odpůrců zákon  znemožní vládě provádět nezbytná opatření v hospodářské politice. Názor hlavy státu je důležitý, protože může vetovat související zákony.			Zákon o vyrovnaném státním rozpočtu	0.5	14
48	Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.	Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.	V ČR je velké množství státních a státem placených institucí v Praze. Naproti tomu v Německu existuje pravidlo, že takové instituce musejí být rozmísťovány rovnoměrně po celé zemi. Podle zastánců to zlepšuje přístup občanů k úřadům a posiluje nezávislost kontrolních institucí, podle odpůrců to snižuje efektivitu státní správy. Názor hlavy státu je důležitý, protože může vetovat související zákony.			Rovnoměrné rozmístění státních institucí	1	15
49	Pro obsazování vysokých volených funkcí by měly být zavedeny kvóty pro ženy.	Pro obsazování vysokých volených funkcí by měly být zavedeny kvóty pro ženy.	V některých skandinávských zemích jsou zavedeny kvóty pro ženy při obsazování některých volených funkcí. Podle zastánců zabraňují diskriminaci žen, podle odpůrců porušují rovnost pohlaví před zákonem.			Kvóty pro ženy		
50	Mělo by být zakázáno kouřit v restauracích.	Mělo by být zakázáno kouřit v restauracích.	V mnoha zemích se v poslední době rozšiřují zákony zakazující kouření v restauracích. Např. v mnoha německých spolkových zemích je to zakázáno, na Slovensku je nutno vyhradit stavebně oddělený nekuřácký prostor.			Zákaz kouření v restauracích	0.5	
51	Zákaz billboardů u silnic by měl být zrušen.	Zákaz billboardů u silnic by měl být zrušen.	Nedávno začala platit novela, která nařizuje odstranit do pěti let billboardy v okolí dálnic, rychlostních komunikací a silnic I. třídy. Podle zastánců toto opatření sníží počet dopravních nehod, podle odpůrců problém neřeší, protože billboardy se přesunou na soukromé pozemky okolo silnic.			Zákaz billboardů	0.5	
52	Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.	Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.	Na silnicích v ČR platí nyní zákaz jízdy kamionů v neděli. Podle zastánců pomáhá toto opatření snížit dopravní zátěž tranzitních obcí, podle odpůrců omezení přepravy zboží snižuje hospodářský růst.			Zákaz jízdy kamionů	0.5	
53	V ČR by měl být zaveden trest smrti.	V ČR by měl být zaveden trest smrti.	V ČR a v řadě dalších evropských zemí je nyní trest smrti nepřípustný. Podle jeho zastánců pomáhá díky své odstrašující funkci snižovat kriminalitu, podle odpůrců je nemorání a hrozí jeho zneužití a justiční omyly.			Trest smrti		
54	Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.	Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.	V ČR je možné vyhlásit celostátní referendum pouze tehdy, pokud o něm rozhodne Parlament. Např. na Slovensku je to možné po shromáždění 350 000 podpisů, v „referendovém“ Švýcarsku je třeba 50 000 podpisů. Referenda je možné žádat i ve spolkových zemích v Německu, v celém Německu prakticky ne. Názor hlavy státu je důležitý, protože může vetovat související zákony.			Celostátní referendum	1	2
55	Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.	Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.	V ČR je pro platnost místního referenda nutná účast alespoň 35 % obyvatel obce a alespoň 25 % obyvatel musí hlasovat pro vítěznou variantu. Ve velkých městech je to dle zkušeností těžko dosažitelné. Např. v Polsku je minimální účast pro platnost referenda 30 %, na Slovensku 50 % a v Bavorsku je to odstupňované dle velikosti města od 20 % (pod 50 000 lidí) po 10 % (nad 100 000 lidí). Názor hlavy státu je důležitý, protože může vetovat související zákony.			Snazší místní referendum	1	28
56	Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.	Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.	Poslanci a senátoři nemohou být trestně stíháni, pokud je Parlament odmítne vydat. V takovém případě už za daný skutek nemohou být stíháni nikdy. Podle zastánců jde o pojistku proti politickému pronásledování zákonodárců, podle odpůrců brání imunita ve vyšetřování trestné činnosti zákonodárců.			Imunita poslanců a senátorů	1	18
57	Senát by měl být zrušen.	Senát by měl být zrušen.	"Při volbách do Senátu je dlouhodobě nejnižší účast (srovnatelná jen s účastí v „eurovolbách“). Podle zastánců Senát plní funkci ""pojistky"" a pomáhá při vytváření kvalitnějších zákonů, podle odpůrců jde o zbytečnou instituci. Obdoba Senátu existuje v Polsku, např. v Německu jsou „senátory“ zástupci zemských vlád. Na Slovensku a v Maďarsku Senát není."			Zrušení Senátu	1	17
58	Měl by být zaveden tzv. klouzavý mandát.	Měl by být zaveden tzv. klouzavý mandát	V ČR je možné i běžné, že ministři vlády jsou zároveň poslanci nebo senátory. Podle zastánců je kumulace funkcí prospěšná díky přenosu znalostí a zkušeností, podle odpůrců je těžko zvládnutelná. V řadě zemí existuje takzvaný „klouzavý mandát“ – za poslance nastupuje po dobu jeho členství ve vládě dočasný náhradník.			Klouzavý mandát		
59	Občané by měli mít možnost předložit návrh zákona pomocí petice.	Občané by měli mít možnost předložit návrh zákona pomocí petice.	V ČR mají zákonodárnou iniciativu pouze poslanci, vláda, Senát a zastupitelstvo kraje. V řadě zemí mohou navíc občané možnost předložit zákon do Parlamentu přímo, a to pomocí petice.			Lidová iniciativa	0.5	
60	Zákon o státní službě by měl vstoupit v platnost.	Zákon o státní službě by měl vstoupit v platnost	Zákon o státní službě upravuje pravomoci a odpovědnost úředníků. Ačkoli byl přijat již v roce 2002, jeho vstup v platnost je neustále odsouván. Podle zastánců je důležitý, protože chrání státní správu před politicky motivovanými zásahy a stanovuje odpovědnost úředníků za jejich rozhodování. Podle odpůrců je zastaralý a kvůli zavedení nových platových tříd by jeho platnost zatížila státní rozpočet.			Zákon o státní službě		
