ID	jméno otázky	otázka (max 20 slov)	popis (nepovinný, max 50 slov)	pořadí
12	Komunikace v okrajových částech	Mělo by město věnovat zvýšenou pozornost technickému stavu komunikací v okrajových částech města?		12
13	Oblast školství	Mělo by město finančně podporovat provoz škol více než doposud?	Město Trutnov zřizuje základní školy, ale nikoliv školy střední (například Gymnázium Trutnov je zřizováno Královéhradeckým krajem). Město nyní na tento účel vynakládá zhruba 40 milionů Kč ročně z celkových zhruba 540 milionů výdajů rozpočtu.	13
14	Podpora festivalu	Mělo by město finančně podporovat Trutnov Open Air Festival?		14
15	Regulace konzumace alkoholu	Mělo by být na některých veřejných místech v Trutnově (nádraží, park atd.) zakázáno pít alkohol?		15
16	Městská policie	Jste pro zrušení Městské policie v Trutnově?	Městská policie stojí město ročně cca 20 milionů Kč. Zároveň ale přispívá do rozpočtu částkou cca 4 miliony Kč ročně (blokové pokuty, platby od jiných obcí) a pomáhá zajišťovat bezpečnost ve městě.	16
17	Zadlužení města	Může se město kvůli důležité investici výrazněji zadlužit?	Tak se učinilo v letech 2009 a 2010, kdy se město s jinak dlouhodobě vyrovnaným rozpočtem zadlužilo za výstavbu Společenského centra UFFO. 	17
18	Suburbanizace	Podporujete rozrůstání města do nově vzniklých okrajových částí?		18
19	Kuželna	Měla by být v areálu Na Nivách postavena kuželna?		19
20	Supermarkety	Mělo by město podpořit vznik dalších supermarketů přicházejících do Trutnova?		20
21	Dětská hřiště	Město by mělo stavět další dětská hřiště?		21
22	Městské referendum	Byli byste pro uspořádání závazného městského referenda v klíčových otázkách?	Závazná referenda by převedla některá důležitá rozhodnutí do přímé kompetence obyvatel Trutnova. Zároveň ale jejich uspořádání stojí finanční prostředky a zájem obyvatel o hlasování není zaručen.	22
23	Kamerový systém	Měl by Trutnov rozšiřovat městský kamerový systém?	Obhájci se domnívají, že by to přispělo ke zvýšení bezpečnosti ve městě, odpůrci argumentují narušením soukromí obyvatel.	23
24	Umění v ulicích	Mělo by město pokračovat v podpoře umisťování uměleckých děl ve veřejných prostorech jako doposud?	Podle zastánců tato činost zkrášluje město a činí veřejný prostor v Trutnově mnohem zajímavější. Podle odpůrců se často jedná o kontroverzní díla a na jejich umístění je třeba vynaložit veřejné peníze.	24
25	Zákaz hazardu	Měly by být všechny herny v Trutnově zakázány?	Zákaz hazardu může přispět ke snížení kriminality a celkovému zvýšení kvality života ve městě, hazard je však nezanedbatelným zdrojem příjmů města (18 milionů Kč ročně z celkových zhruba 535 milionů Kč příjmů rozpočtu) a v případě jeho zákazu mohou vznikat tzv. "černé" herny.	25
26	Financování sportu	Mělo by město více finančně podporovat trutnovské sportovní a tělovýchovné organizace?	Z prostředků města je nyní na účely tělovýchovy a sportu uvolňováno cca 38 milionů Kč ročně z celkových zhruba 540 milionů výdajů rozpočtu.	26
27	Více míst ve školkách	Mělo by město zařídit zvýšení počtu míst ve veřejných mateřských školách?	Podporovatelé jsou se současným počtem nespokojeni a domnívají se, že ve školkách není pro nové děti místo. Odůrci tvrdí, že by navýšení míst stálo peníze a není na místě kvůli demografickému vývoji, kdy se do školek dostávají populačně slabší ročníky. 	27
28	Správa sportovišť	Souhlasíte s tím, že správa sportovišť byla převedena z TJ Lokomotiva na Městský bytový podnik (nyní Městské byty a sportoviště)?	Správa většiny sportovních areálů přešla od TJ Lokomotiva pod Městské byty a sportoviště, dříve Městský bytový podnik, který spravuje i jiné městské nemovitosti. TJ Lokomotiva nadále zajišťuje pouze činnost oddílů, které za pronájem sportovišť nyní platí MEBYSu. Do té doby některé oddíly pronájem neplatily.	28
29	Více míst v domovech pro seniory	Mělo by město více investovat na rozšíření počtu míst v domovech pro seniory i za cenu zvýšení výdajů městského rozpočtu?		29
30	Rozšíření krytého bazénu	Měl by být krytý bazén rekonstruován a rozšířen o aquapark?	Krytý bazén byl postaven v roce 1981. Od té doby prochází postupnými opravami, v hledáčku je ale i celková rekonstrukce. Ta by bazén zatraktivnila pro občany a vytvořila lepší podmínky pro úspěšný plavecký oddíl. Aquapark by navíc mohl přitáhnout další turisty. Rekonstrukce by ale byla výraznou zátěží pro městský rozpočet.	30
31	Nové jesle	Přáli byste si zřízení dalších jeslí v Trutnově?	Podle některých je současná kapacita jeslí nedostatečná. Zřízení dalších jestlí by však zvýšilo výdaje nejen jednorázově, ale i dlouhodobě - výše příspěvku na provoz jeslí, která v současnosti činí 4,5 milionu Kč ročně, by vzrostla.	31
32	Otevřenost Radničních listů	Mělo by v Radničních listech být více prostoru pro názory občanů a opozičních stran?	Radniční listy mají v současnosti převážně funkci informovat o dění na radnici a v městských organizacích. Jejich funkcí by ale mohlo být i poskytování prostoru pro polemiku s názory občanů a opozičních zastupitelů, které můžou být jiné než oficiální stanoviska radnice.	32
33	Vysokoškolské vzdělávání v Trutnově	Měl by Trutnov podporovat vytvoření pobočky další vysoké školy?	V Trutnově již mají svoje pobočky dvě vysoké školy – Fakulta elektrotechnická Českého vysokého učení technického v Praze a Slezská univezita v Opavě.	33
34	Systém půjčování kol	Mělo by město zavést automatizovaný systém půjčování kol?	Systém umožňující občanům vypůjčit si zdarma nebo za malý poplatek na jednom místě ve městě kolo a na druhém místě ho vrátit je v provozu v mnoha evropských i českých městech. Vyžaduje ale určité náklady z městského rozpočtu.	34
