id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.		
21	Úprava rozdělování financí	Rozdělování peněz mezi magistrátem a městskými částmi by mělo být upraveno tak, aby menší městské části nebyly oproti těm větším znevýhodňovány.	V současnosti panuje velký nepoměr v tom, kolik prostředků na obyvatele dostávají “velké” a “malé” městské části., znatelné rozdíly jsou i mezi “velkými” městskými částmi.		0		
22	Zveřejňování smluv městkých organizací 	Městské organizace by měly zveřejňovat všechny své smlouvy.	Smlouvy již zveřejňuje řada měst i samotný magistrát. Akciové společnosti ve vlastnictví města, jako je např. Dopravní podnik nebo TSK (technická správa komunikací) , tak ale nyní nečíní, i když na vyžádání jsou povinni smlouvy poskytnout. Automatické zveřejňování smluv může nicméně znamenat jistou agendu navíc.		jednostranné		
23	Open source	Praha by svou IT agendu měla převést z větší části na open source systémy.	Tisíce počítačů řešících městskou agendu běží na operačním systému a s programy, za které se platí licence. Přechod na opensourcovaný software, po vzoru např. Mnichova, může přinést úspory a sníží závislost městské správy na dodavatelích SW. Na druhou stranu jde o náročný a dlouhodobý postup.		0		
24	Víc peněz na školky	Praha by měla vyčlenit prostředky na urychlenou výstavbu školek či adaptaci jiných objektů na školky tak, aby bylo možné umístit ve školce každé dítě, které dosáhne věku tří let.	V současnosti může být obtížné umístit ve školce - v závislosti na lokalitě - i dítě staré přes 4 roky. Péče o děti delší než tři roky přitom komplikuje návrat rodičů do zaměstnání. Na druhou stranu, na umístění dítěte ve školce není nárok a současný přetlak poptávky za několik let pravděpodobně poklesne.	11			
25	Participativní rozpočet	O malém procentu prostředků z rozpočtu hlavního města by měli rozhodovat přímo občané.	Tzv. participativní rozpočet je funguje například v Bratislavě, kde voliči na městské úrovni alokují malou část rozpočtu, zpravidla na projekty v oblasti kultury, životního prostředí nebo veřejného prostoru.	7			
26	Velké sportovní akce	Praha by se měla ucházet o pořádání velkých mezinárodních sportovních akcí, jako je např. Olympiáda.		22		Velké akce přinášejí městu prestiž a ekonomické příjmy spojené se zvýšeným množstvím zahraničních návštěvníků. Vyžadují ale zpravidla také značné veřejné investice.	Mně to přijde zbytečné, ta otázka je ok i bez popisu.
27	Kamerový systém	Ve městě by měly být instalovány další kamery městské policie.	Průběžně probíhá rozšiřování městského kamerového systému. Kamery pomáhají prokazovat trestné činy a přestupky, ale mohou narušovat soukromí.	25			
28	Zrušení poplatku za svoz odpadu 	Poplatek za svoz komunálního odpadu by měl být zrušen.		4			
29	Transparentní účty	Město by mělo mít transparentní účty, do kterých lze veřejně nahlížet.			jednostranné		
30	Regulace hazardu	V Praze by měly být zakázány všechny herní automaty v hernách.	V současnosti mohou hazard regulovat městské části nezávisle a různé MČ mají často rozdílný přístup.	8			
31	Online interpelace	Rada Hl.m.Prahy má pokračovat v online interpelacích - odpovídání občanům na veřejném portálu Prahy.	Pražané mají možnost ptát se svých radních online, aniž by museli osobně na zastupitelstvo - na webu Prahy		jednostranné		
32	Jednotný ekonomický a účetní systém	Má Praha vyhodnotit výhodnost smluv umožňujících využívání ekonomického a účetního systému Gordic?	Praha včetně jednotlivých městské části využívá jednotný ekonomický a účetní systém, což umožňuje snadné sdílení dat a komunikaci. Systém ovšem od samého počátku provází spekulace o jeho značné finanční nevýhodnosti pro město.	13			
33	Prodeje majetku města	Praha má řešit deficit v rozpočtu prodejem majetku (např. nemovitostí).	Zadluženost Prahy je možné řešit prodejem majetku. Na druhou stranu prodej majetku může hlavní město připravit o rezervy do budoucna.		jednostranné		
34	Nedostatek míst ve školkách	Nedostatek míst v mateřských školkách by se měl řešit zvýšením rozpočtu jednotlivým městským částem.	V Praze je nedostatek míst v mateřských školách, což vede až k účelovým změnám trvalého pobytu dětí. V celé ČR je při zápisu do školky odmítnuto 50-60 000 dětí ročně, přičemž nejvíce z nich žije v Praze.		0		
35	Financování kultury pomocí grantů	Měl by se nadále snižovat počet městských kulturních institucí (zejména divadel) ve formě příspěvkových organizací?	V právě končícím volebním období byla přesunuta značná část prostředků z příspěvkových organizací do systému grantů. 	24			
36	Opatření pro lidi bez přístřeší	Praha by měla v zimě zajišťovat přístřeší pro bezdomovce.	Praha nyní v zimních měsících zajišťuje přístřeší pro lidi žijící na ulici, např. ve formě stanového městečka, lodi Hermes nebo jinak.	9			
37	Péče o seniory	Budete prosazovat navýšení kapacit městských domovů důchodců na území Prahy?	V Praze je poměrně vysoká střední doba dožití zhruba 80 let. Pro seniory, kteří již nemohou žít samostatně, je však v Praze nedostatečný počet míst v adekvátních zařízeních a musí se často kvůli odchodu do domova důchodců “přestěhovat” do jiného kraje.		jednostranné		
38	Výstavba mrakodrapů	Výstavba mrakodrapů musí být regulována s ohledem na panorama Prahy.	Praha je vedle Benátek a Florencie metropolí, kde se dodnes dochovalo historické panorama, a je také kvůil tomu jednou za památek světového dědictví UNESCO. Politici mohou panorama dále chránit nebo umožnit výškovou výstavbu také v centru. 		jednostranné	Centrum Prahy je součástí světového kulturního dědictví a podle Výboru UNESCO. V územním plánu by mělo být vymezeno území, kde výškové stavby mohou anebo naopak nemohu být, aby nepoškozovaly unikátní panorama Prahy.  	kdo určuje to, že "by mělo" ?
39	Metropolitní plán	Příprava nového územního plánu (Metropolitního plánu) by měla být ukončena.	Se zadáním Metropolitního plánu nesouhlasí např. některé městské části a obávají se, že plán dá ještě větší sílu developerům prosazovat komerční projekty bez ohledu na obyvatele. Tvůrci plánu naopak tvrdí, že zjednoduší stavební regulace Prahy.	17			
40	Respektování referend	Celopražské orgány mají respektovat výsledky referend, která se konají v městských částech.	Místní referenda vyjadřují vůli převážné většiny obyvatel dané městské části. Na druhou stranu zastupitelé musí zohledňovat zájmy všech obyvatel Prahy, které nemusí být totožné s výsledkem referenda.	23		 Uspořádat celopražské referendum je příliš složité. Zastupitelstvo Prahy by proto mohlo při rozhodování o území městských částí zohledňovat vůli místních obyvatel. Pro zastupitele Prahy však tato referenda nejsou nijak závazná. 	a) Kdo určuje, že je to "příliš složité"? b) Zastupitelstvo může respektovat referenda i z jiných důvodů.
41	Přestavba brownfields	Praha má zastavit výstavbu nových domů a skladišť na zelené louce a zaměřit se na využití tzv. brownfields.	Rozšiřování města do krajiny vyvolává náklady na dopravní síť a občanskou vybavenost (školy apod.) a vede k úbytku půdy. Přestavba průmyslových a dopravních areálů (tzv. brownfields, např. kolejiště nádraží) je dražší než výstavba na zelené louce.	26		Pokud se zvažuje výstavba nových čtvrtí nebo budov, musí být vždy přednostně využívány plochy brownfields. Výstavba v zeleni nebo na orné půdě by měla být napříště povolena pouze tehdy, pokud se zcela vyčerpá potenciál brownfields na území města, vhodných k zástavbě.     	To není popis, ale rozšířený statement. Jsou to jen argumenty pro. 
42	Přenést náklady na developery	Náklady na veřejné vybavení vyvolané výstavbou (přístupové cesty, kanalizace, MHD) mají nést developeři namísto města.	Pomocí nástrojů územního plánování je možné vázat povolení komerční výstavby na zajištění veřejného vybavení a infrastruktury v lokalitách, kde se staví.		jednostranné	Tento přístup však vyžaduje kvalitní a soustavnou metodickou pomoc stavebním úřadům městských částí.	To není jisté. 
43	Změny územního plánu	Změny platného územního plánu mají sloužit pouze k umístění staveb veřejného vybavení, jako jsou domy pro seniory, parky, školy nebo sportovní haly.	V minulosti město schválilo tisíce změn územního plánu ve prospěch soukromých developerů. Brždění komerční výstavby na druhou stranu ale např. zpomaluje ekonomiku nebo omezuje vlastníky.	22			
44	Zeleň a veřejné stavby	Nový územní plán má chránit plochy pro zeleň a veřejné vybavení (sportoviště, knihovny, školky, zdravotnická zařízení, aj.). 	Umísťování parků a budov s veřejnou funkcí je nutné specificky plánovat a vymezit pro ně konkrétní pozemky. Realizace takových projektů může kolidovat se záměry developerů a může být obtížné pro ně zajistit financování.		jednostranné		
45	Zahrádkové osady	Praha by měla zachovávat zahrádkové osady.	Zahrádkářské kolonie představují zeleň, o kterou se město nemusí starat, plní navíc sociální funkci a produkci potravin. Na druhou stranu jsou nepřístupné širší veřejnosti a často na lukrativních pozemcích.	28		Zahrádkářské osady plní ve velkých městech několik důležitých funkcí (zeleň, rekreace, setávvání občanů). Část zahrádkářských osad by měla být i do budoucna zachována.	Opět je to hodnotící popis, ne nestranný. Pro někoho tuty funkce mohou být naprosto nedůležité. 
46	Rozpočty městských společností	Sestavování rozpočtu městských společností má mít jasná a veřejně kontrolovatelná pravidla.	Městské obchodní společnosti (DPP, TSK, nyní i Pražská plynárenská) nakládají se značnou částí prostředků, které město získá z daní obyvatel a firem.		jednostranné		
47	Zveřejňování jízdních řádů strojově čitelně 	Dopravní podnik by měl zveřejňovat aktuální jízdní rády MHD ve strojově čitelné podobě.	Jízdní řády ve strojově čitelné podobě umožňují jejich využítí v jiných aplikacích od externích firem nebo jednotlivců. Dopravní podnik dnes tato data poskytuje jen vybraným firmám (např. Google). 		jednostranné		
48	Privatizace bytů	Město by mělo privatizovat většinu bytů ve svém vlastnictví.		2			
49	Finanční podpora vrcholových sportovních akcí 	Praha by měla finančně podporovat vrcholové sportovní akce jakou jsou mistrovství světa.	Praha v nedávné minulosti finančně podpořila např. mistrovství světa ve vodním slalomu nebo v basketbale juniorů.	29			
50	Majorita v Pražské plynárenské	Město by mělo držet většinu akcií v Pražské plynárenské.	Praha nedávno odkoupila většinový podíl v Pražské plynárenské.	18			
51	Pražské služby	Město by mělo usilovat o kompletní ovládnutí Pražských služeb	Pražské služby zajišťují odvoz odpadu. Pokud by město vlastnilo firmu zcela, nemuselo by na zakázky na odvoz odpadu vypisovat výběrová řízení a mohlo je zadávat jen této své firmě.	19			
52	Mýtné do centra	Praha by měla zavést mýtné za vjezd automobilů do centra.		30			
