id	short_sk	short_en	question_sk	question_en	descr_sk	descr_en	vote_id	bill_id	polarity	source	
11	Obmedzenie predaja v školských bufetoch	Sweets in school cafeterias	Hlasoval/a by som za zákaz predaja cukroviniek, sladených nápojov a pečiva v školských bufetoch.	Would you vote for a ban on sweets, soft drinks and pastries in school cafeterias?	Zástancovia tvrdia, že návrh chráni zdravie detí. Kritici naopak, že návrh obmedzuje osobnú slobodu a z ekonomického hľadiska by mal likvidačný dopad na mnohé školské bufety.	Proponents say that the bill helps to protect the health of children. Opponents say that it limits personal freedom, will have a negative impact on the economy and will de facto lead to abolishing of schools cafeterias.	34759	1140	-1		
12	Zrušenie zákona o dvojitom občianstve	Abolition of the dual citizenship	Súhlasil/a by som, aby nebolo možné stratiť štátne občianstvo SR v dôsledku nadobudnutia štátneho občianstva iného štátu.	Would you agree that it would not be possible to lose Slovak citizenship as a result of the acquisition of citizenship of another country?	Na základe tohto návrhu by bolo možné stratiť štátne občianstvo SR iba prepustením zo štátneho zväzku na vlasnú žiadosť. Podľa zástancov návrhu je prax, kedy je občanom odoberané štátne občianstvo SR v dôsledku nadobudnutia štátneho občianstva iného štátu protiústavné a diskriminačné. Kritici tvrdia, že návrh je nekoncepčný.	The bill stipulates that losing the Slovak citizenship after gaining a citizenship of a foreign country will newly be optional. Proponents say that the current situation when a person loses the Slovak citizenship after gaining a citizenship of a foreign country is discriminatory. Opponents say that the bill is unsystematic.	35006	1189	-1		
13	Vyhlásenie NR SR k situácii na Ukrajine	Situation in Ukraine	Súhlasil/a by som s výzvou, aby Rusko nezasahovalo do vnútorných záležitostí Ukrajiny a nenarúšalo jej územnú celistvosť.	Would you agree with an appeal to Russia not to intervene to internal matters of Ukraine and not to violate its territorial integrity?	Ide o hlasovanie o uznesení, v ktorom sa uvádza, že SR považuje za neprípustné  narúšanie ukrajinskej suverenity a územnej celistvosti a iba ukrajinský ľud ako štátny suverén má právo rozhodnúť o ďalšej zahraničnopolitickej orientácii krajiny. Podľa kritikov malo vyhlásenie obsahovať aj apel na Rusko, aby nezasahovalo do vnútorných záležitostí Ukrajiny a neposkytovalo vojenskú pomoc vzbúrencom.	The vote was about a resolution stating that Slovakia condemns violations of Ukrainian sovereignty and territorial integrity and that only the Ukrainian people as the state sovereign have the right to decide on future foreign policy of the country. Opponents say that the resolution should have also included an appeal to Russia not to intervene into internal matters of Ukraine and not to provide military assistance to rebels.	34570	1181	1		
14	Environmentálny ombudsman	Environmental ombudsman	Súhlasil/a by som so vznikom inštitútu environmentálneho ombudsmana.	Would you agree with the establishment of the institute of environmental ombudsman?	V pôsobnosti environmentálneho ombudsmana by bola ochrana životného prostredia pri konaní, rozhodovaní alebo nečinnosti orgánov ochrany prírody v prípade, že toto konanie je v rozpore so zákonom. Podľa zástancov zákona by mal vznik inštitútu environmentálneho ombudsmana pozitívny vplyv na životné prostredie. Podľa kritikov je návrh zákona nekoncepčný.	The environmental ombudsman would oversee the public sector institution’s execution of environmental protection policies and prevent inaction of authorities responsible for protecting the environment. Proponents say that the institution of the environmental ombudsman would have a positive impact on the environmental protection. Opponents say that the bill is unsystematic.	34573	1162	1		
15	Zrušenie trestnoprávnej imunity	Repeal of the legislative immunity	Hlasoval/a by som sa zrušenie trestnoprávnej imunity poslancov.	Would you vote to repeal the legislative imunity for members of the National Council?	Necelý polrok po zrušení priestupkovej imunity zákonodarcov k nej pribudla aj imunita trestnoprávna. Samotná imunita bola často kritizovaná ako neoprávnená výsada. Poslanci jej existenciu ale obhajovali nutnosťou vlastnej ochrany pred zlovôľou moci. Aj po zrušení trestnoprávnej imunity zostala ponechaná najnižšia miera ochrany, tzv. indemnita, ktorá poslancov chráni iba pri prejavoch na pôde parlamentu.	Less than six months after the immunity from prosecution on misdemeanors was repealed, the immunity from any criminal prosecution also went. The immunity itself has often been criticized as an unjustified benefit, but Members of the National Council defended its existence by the neccessity of their protection against unlawful practices of the executive power. The lowest level of protection, so called indemnity, which merely protects the legislators' speech in parliament, is still left in place.	30380	64	1	http://www.nrsr.sk/web/Default.aspx?sid=zakony/cpt&ZakZborID=13&CisObdobia=6&ID=64	http://www.sme.sk/c/6471251/poslanci-si-zrusili-trestnopravnu-imunitu.html
16	Európsky mechanizmus pre stabilitu (Euroval)	European Stability Mechanism (ESM)	Hlasoval/a by som za vznik Európskeho mechanizmu pre stabilitu (tzv. Eurovalu).	Would you vote for the participation of Slovakia in creation of the European Stability Mechanism (ESM)?	Pokračujúca menová kríza v eurozóne si vyžiadala opatrenia presadzované Európskou úniou. Jedným z mechanizmov prevencie ďalších podobných kríz a zabezpečenia ekonomickej stability v eurozóne sa mal stať Európsky mechanizmus pre stabilitu, tzv. trvalý euroval, ktorý by nahradil svojho dočasného predchodcu. Kritici poukazujú na nedostatočnú kontrolu Eurovalu zo strany členských štátov.	The continuous currency crisis in the eurozone resulted in the action of European Union. One of the mechanisms intended to prevent any further crisis and to establish economic stability in the Eurozone was meant to be the European Stability Mechanism, a so called permanent bailout fund. It would thus replace its predecessor, a temporary fund. Critics point to inefficient oversight of the ESM by individual member states	30192	42	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=42	http://spravy.pravda.sk/domace/clanok/247088-parlament-prijal-trvaly-euroval/
17	Obnovenie koncesionárskych poplatkov	Renewal of the TV and radio licence	Hlasoval/a by som za znovuzavedenie koncesionárskych poplatkov za príjem rozhlasového a televízneho vysielania RTVS.	Would you vote for the renewal of the TV and radio licence?	Koncom roka 2012 mali poplatky za rozhlasové a televízne vysielanie, tzv. koncesionárske poplatky, zaniknúť. Poslanci ale tesne pred koncom roka toto opatrenie zrušili. Zámerom bolo zachovať nezávislosť verejnoprávneho vysielateľa, hoci ide o dodatočné náklady pre domácnosti vrátane tých, ktoré služby verejnoprávnych médií nevyužívajú.	The TV and radio licence was supposed to be abolished at the end of 2012. Close to the end of the year, legislators voted on continuation of the licence fees. The stated intent of the fee is to ensure independence for the public broadcaster, though by the means of increasing household expenditures even for people that do not or cannot enjoy its services.	30892	191	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=191	http://www.pluska.sk/spravy/z-domova/koncesionarske-poplatky-budeme-platit-aj-nadalej.html
18	Registrované partnerstvá homosexuálov	Recognition of same-sex marriges	Hlasoval/a by som za zákon o registrovanom partnerstve.	Would you support the recognition of same-sex marriges?	Na Slovensku nie sú partnerstvá osôb rovnakého pohlavia nijako rozpoznané zákonom. Homosexuálne páry tak nemajú nárok utvárať legálne zväzky, ktoré by im zabezpečovali špecifické práva plynúce z partnerského súžitia. Podľa kritikov by ale tieto zväzky spochybňovali význam tradičného manželstva.	The same-sex partnerships are not recognized by the law in Slovakia. Homosexual pairs do not have opportunity to create legal partnerships, which would ensure them specific rights associated with living together, but which would also, according to the critics, diminish traditional marriage.	31058	208	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=208	http://spravy.pravda.sk/domace/clanok/251704-registrovane-partnerstva-nebudu-liberali-parlament-nepresvedcili/
19	Podmienenie dávok v hmotnej núdzi	Making social benefits conditional	Hlasoval/a by som za podmienenie dávok v hmotnej núdzi nutnosťou vykonať ponúknutú prácu.	Would you vote for making social benefits conditional upon accepting a job offer?	Pôvodne nebolo nutné pre priznanie dávok v hmotnej núdzi splnenie žiadnych ďalších podmienok. Od januára 2013 však sociálne odkázaný človek, ktorý odmietne vykonať ponúkané pracovné aktivity v rozsahu až 32 hodín mesačne, môže o dávky prísť. Túto zamýšľanú úsporu v sociálnom systéme sprevádzajú spory o to, či ide o dôstojné zaobchádzanie s chudobnými ľuďmi.	It was not neccessary to meet any conditions for admission of social benefits. From January 2013 on, each socially disadvantaged person must agree to perform offered working activities in sum of 32 hours per month. If he or she refuses, the benefits in material needs could be completely revoked. This intended savings measure has created a discussion about the dignity of thus handling the poor.	33180	812	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=812	http://spravy.pravda.sk/domace/clanok/300642-davky-budu-za-pracu-rozhodol-parlament/
20	Voľby a kampane	Elections and campaigns	Hlasoval/a by som za jednotnú zákonnú úpravu všetkých volieb a kampaní.	Would you vote for a unified law regulating all elections and campaigns in the Slovakia?	Každé zo šestice volieb realizovaných na Slovensku podliehali vlastnej zákonnej úprave. Prijaté opatrenie ale zákonné postupy súvisiace s voľbami a predvolebnou kampaňou zjednocuje do jedného predpisu. Podporovatelia vítajú sprehľadnenie legislatívnej úpravy volieb a kampaní. Odporcovia naopak tvrdia, že jednotný zákon nedokáže byť dôsledný, pretože sa voľby v dôležitých detailoch líšia.	Each of the six types of elections that take place in Slovakia used to be regulated by their own legislative specifications. The adopted law is unifying all legal procedures connected with elections and campaigns. The proponents are expecting clearer and more transparent legislation on election and campaigns. Opponents claim that the law cannot be effective because of particular differences among all kinds of elections.	34005	660	1	http://www.nrsr.sk/web/Default.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=660	http://spravy.pravda.sk/domace/clanok/289898-vlada-odsuhlasila-novy-zakon-pre-vsetky-volby/
21	Omezení pracovných pomerov vysokoškolských pedagógov	Limits on professors' employment	Hlasoval/a by som za obmedzenie úväzkov pre vysokoškolských pedagógov na 69 pracovných hodín týždenne.	Would you vote for a maximum of three emplyment contracts for university professors?	Tento zákon stanovil vysokoškolským učiteľom, výskumníkom a umeleckým pracovníkom strop 69 pracovných hodín týždenne, ktorý už nebudú môcť prekročiť, aj pokiaľ by s tým súhlasili. Obmedzenie je namierené proti tzv. lietajúcim profesorom, ktorí mali plné úväzky hneď na niekoľkých vysokých školách, pritom však môže obmedzovať skutočne pracovne vyťažených akademikov.	This law has set the maximum of 69 working hours per week for university scholars, researchers, and artistic workers. This limit cannot be exceeded, even if the person agrees. The regulation is directed against so called flying profesors who used to have full time positions at many universities at the same time, but some adademics with truly intense workload can be unjustly limited by it.	31333	223	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=223	http://www.aktuality.sk/clanok/216101/nr-sr-poslanci-budu-rokovat-o-novele-vysokoskolskeho-zakona/
22	Regulácia hazardu	Regulations of gambling	Hlasoval/a by som za významnejšiu reguláciu hazardu.	Would you vote for a stronger regulation of gambling?	Novela zákona o hazardných hrách opäť sprísnila podmienky, za ktorých môžu byť herne prevádzkované. Po novom upravuje reklamy a počet automatov v jednotlivých prevádzkach. Obmedzuje tak možnosti súkromného podnikania s cieľom znížiť lákavosť a obľúbenosť hazardu.	Amending the existing law, this regulation toughened the conditions in which the gambling houses can be operated. It comes with new limits on advertisement and on the number of machines in the operating space. The regulation therefore limits private entrepreneurs with the stated goal of decreasing attractiveness and popularity of gambling.	31238	234	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=234	http://www.jnc-legal.com/novinka/novela-zakona-o-hazardnych-hrach
23	Úroky z omeškaného výživného	Interest rate from delayed child benefits	Hlasoval/a by som za zavedenie úrokov z omeškaného výživného na deti.	Would you vote for adding an interest to delayed child benefits?	Opatrenie zavádza úroky z omeškania aj pri alimentoch na dieťa, ktoré sa budú odvodzovať od Občianskeho zákoníka a počítať od dňa uplynutia splatnosti. Cieľom prijatej novely zákona bolo zlepšiť platovú disciplínu rozvedených partnerov a rodičov, hoci môže tvrdo dopadnúť na dlžníkov v zlej finančnej situácii.	Interest on delayed benefit payments based on Civil code was established. The goal of the law was to improve wage discipline of estranged parents and spouses, although this can fall hard on debtors with financial problems.	32185	424	1	http://www.nrsr.sk/web/Page.aspx?sid=schodze/hlasovanie/hlasklub&ID=31942	http://www.sme.sk/c/6809273/z-omeskaneho-vyzivneho-sa-budu-platit-uroky.html
24	Zmrazenie platov ústavných činiteľov	Legislators' salary rate	Hlasoval/a by som za zmrazenie platov ústavných činiteľov.	Would you vote to freeze salaries of legislators?	Platy a paušálne náhrady poslancov, prezidenta, ministrov, predsedu a podpredsedu Najvyššieho kontrolného úradu a generálneho prokurátora sa podľa návrhu v roku 2014 nezvýšia. Budú ich teda poberať v takej istej výške, aká bola určená ešte v roku 2011. Tento reálny pokles miezd je kritizovaný ako obmedzenie schonosti vykonávať zverené úrady.	Salaries and flat-rate compensations of legislators, the president, membres of the cabinet, the chairman and the vicechairmen of the Supreme Audit Office, and the General Prosecutor will stay frozen in 2014, being kept at the 2011 level. This decline of wages in real terms has been criticised as limiting the ability of office-holders to do their jobs.	33176	780	1	http://www.nrsr.sk/web/Default.aspx?sid=zakony/cpt&ZakZborID=13&CisObdobia=6&ID=780	http://www.topky.sk/cl/7/1367436/Ustavnym-cinitelom-sa-na-buduci-rok-platy-nezvysia
25	"Posilnenie ochrany pred ""šmejdmi"""	Consumer protection	Hlasoval/a by som za významnejšiu ochranu spotrebiteľov na predvádzacích akciách.	Would you vote for a stronger protection of consumers at product promotion shows?	Poslanci sprístnili pokuty za niektoré praktiky a podmienky, za ktorých môžu byť predvádzacie akcie realizované. Spotrebitelia budú viac chránení pri kupovaní tovaru na predvádzacích akciách, ovšem poctiví predajcovia tak môžu pocítiť zvýšené náklady spojené so svojím podnikaním.	Members of the National Council adopted a law that will regulate product presentation shows and distance selling, raising fines for certain practices as well as toughening conditions for holding these shows. Consumers at product presentations shows will have increased protection, but legitimate sellers might feel increased costs associated with their business.	33351	746	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=746	http://www.topky.sk/cl/100535/1366605/Poslanci-schvalili-novelu-zakona-na-ochranu-pred--smejdmi-
26	Rozpúšťanie malých poslaneckých klubov	Dissolution of small parliamentary groups	Hlasoval/a by som za rozpustenie poslaneckého klubu, ktorého počet členov klesne v priebehu funkčného obdobia pod osem.	Would you support the dissolution of parliamentary groups that drop below eight members?	Pre utvorenie poslaneckého klubu je v Národnej rade SR potrebných osem poslancov. Rokovací poriadok ale neupravoval, či musí byť poslanecký klub, ktorého počet členov klesne pod osem v priebehu funkčného obdobia zaniknúť. Obmedzením činnosti menších poslaneckých zoskupení tak má dôjsť k úspore na prevádzke klubov.	The group of at least eight legislators is neccessary for creation of a parliamentary club. The Rules of Procedure had not specified wether the parliamentary club of which the number of legislators decreases under eight during tenure must be dissolved. An ammendment of the Rules of Procedure established this kind of dissolution. Limiting the activies of small groups of legislators is thus meant to achieve savings in parliamentary overhead.	32835	559	1	http://www.nrsr.sk/web/Page.aspx?sid=zakony/zakon&ZakZborID=13&CisObdobia=6&CPT=559	http://www.topky.sk/cl/100535/1362955/Poslanecky-klub--v-ktorom-zostane-menej-ako-osem-clenov--zanikne
